Date,CHANNEL,Media_Spend,Media_Spend_by_Channel,Sessions,Clicks,Orders_Existing,Customers_Existing,Total_Revenue,Total_Returns,Technology_Spend
2024-05-01,Paid Social,0.0,0.0,0.0,0.0,0.0,0.0,1516157.7,0.0,0.0
2024-06-01,Affiliates,0.0,0.0,0.0,0.0,0.0,0.0,1011701.99,0.0,0.0
2024-06-01,Paid Search,41934.92,0.0,0.0,0.0,942.0,916.0,1011701.99,0.0,0.0
2024-06-01,Paid Social,0.0,0.0,0.0,0.0,0.0,0.0,1011701.99,0.0,0.0
2024-07-01,Affiliates,0.0,0.0,0.0,0.0,0.0,0.0,948311.9,0.0,0.0
2024-07-01,Paid Search,56408.21,0.0,0.0,0.0,951.0,901.0,948311.9,0.0,0.0
2024-07-01,Paid Social,0.0,0.0,0.0,0.0,0.0,0.0,948311.9,0.0,0.0
2024-08-01,Affiliates,0.0,0.0,0.0,0.0,0.0,0.0,1128109.82,0.0,0.0
2024-08-01,Paid Search,65506.0,0.0,0.0,0.0,1215.0,1173.0,1128109.82,0.0,0.0
2024-08-01,Paid Social,0.0,0.0,0.0,0.0,0.0,0.0,1128109.82,0.0,0.0
2024-09-01,Paid Search,51646.0,0.0,0.0,0.0,0.0,1083.0,958710.51,0.0,0.0
2024-10-01,Paid Search,68150.0,0.0,0.0,0.0,0.0,1095.0,985807.41,0.0,0.0
2024-11-01,Paid Search,88112.0,0.0,0.0,0.0,0.0,1986.0,1764492.45,0.0,0.0
2024-12-01,Paid Search,92682.0,0.0,0.0,0.0,0.0,2220.0,2345488.27,0.0,0.0
2025-01-01,Paid Search,0.0,52392.0,0.0,0.0,0.0,0.0,1079835.87,0.0,0.0
2025-02-01,Paid Search,0.0,53764.0,0.0,0.0,0.0,0.0,876298.03,0.0,0.0
2025-03-01,Paid Search,0.0,76624.0,0.0,0.0,0.0,0.0,1159321.11,0.0,0.0
2025-04-01,Paid Search,0.0,80616.0,0.0,0.0,0.0,0.0,1214502.58,0.0,0.0
2025-05-01,Paid Search,0.0,79749.0,0.0,0.0,0.0,0.0,1618042.01,0.0,0.0
