acquisition_month,channel,new_customers,orders_month_0,orders_month_1,orders_month_2,orders_month_3,orders_month_4,orders_month_5
2022-10-01,paid social,1119.0,1130.0,82.0,77.0,72.0,67.0,62.0
2022-10-01,organic social,450.0,465.0,31.0,29.0,27.0,25.0,23.0
2022-10-01,paid search,2070.0,2090.0,110.0,105.0,100.0,95.0,90.0
2022-10-01,email,1055.0,1065.0,152.0,142.0,132.0,122.0,112.0
2022-10-01,direct,855.0,865.0,76.0,71.0,66.0,61.0,56.0
2022-10-01,affiliates,336.0,330.0,26.0,25.0,23.0,21.0,19.0
2022-11-01,paid social,1134.0,1145.0,84.0,79.0,74.0,69.0,64.0
2022-11-01,organic social,459.0,475.0,32.0,30.0,28.0,26.0,24.0
2022-11-01,paid search,2100.0,2120.0,112.0,107.0,102.0,97.0,92.0
2022-11-01,email,1070.0,1080.0,155.0,145.0,135.0,125.0,115.0
2022-11-01,direct,870.0,880.0,77.0,72.0,67.0,62.0,57.0
2022-11-01,affiliates,342.0,335.0,27.0,26.0,24.0,22.0,20.0
2022-12-01,paid social,1149.0,1160.0,86.0,81.0,76.0,71.0,66.0
2022-12-01,organic social,450.0,450.0,33.0,31.0,29.0,27.0,25.0
2022-12-01,paid search,2130.0,2150.0,114.0,109.0,104.0,99.0,94.0
2022-12-01,email,1085.0,1095.0,158.0,148.0,138.0,128.0,118.0
2022-12-01,direct,885.0,895.0,78.0,73.0,68.0,63.0,58.0
2022-12-01,affiliates,348.0,345.0,28.0,27.0,25.0,23.0,21.0
2023-01-01,paid social,1028.0,1040.0,78.0,73.0,68.0,63.0,58.0
2023-01-01,organic social,380.0,385.0,23.0,21.0,19.0,17.0,15.0
2023-01-01,paid search,1900.0,1920.0,94.0,89.0,84.0,79.0,74.0
2023-01-01,email,950.0,960.0,131.0,121.0,111.0,101.0,91.0
2023-01-01,direct,750.0,760.0,66.0,61.0,56.0,51.0,46.0
2023-01-01,affiliates,285.0,290.0,19.0,18.0,16.0,14.0,12.0
2023-02-01,paid social,1057.0,1070.0,79.0,74.0,69.0,64.0,59.0
2023-02-01,organic social,390.0,395.0,24.0,22.0,20.0,18.0,16.0
2023-02-01,paid search,1950.0,1970.0,98.0,93.0,88.0,83.0,78.0
2023-02-01,email,970.0,980.0,135.0,125.0,115.0,105.0,95.0
2023-02-01,direct,770.0,780.0,68.0,63.0,58.0,53.0,48.0
2023-02-01,affiliates,294.0,300.0,20.0,19.0,17.0,15.0,13.0
2023-03-01,paid social,1086.0,1100.0,81.0,76.0,71.0,66.0,61.0
2023-03-01,organic social,400.0,405.0,25.0,23.0,21.0,19.0,17.0
2023-03-01,paid search,2000.0,2020.0,100.0,95.0,90.0,85.0,80.0
2023-03-01,email,990.0,1000.0,138.0,128.0,118.0,108.0,98.0
2023-03-01,direct,790.0,800.0,70.0,65.0,60.0,55.0,50.0
2023-03-01,affiliates,303.0,310.0,21.0,20.0,18.0,16.0,14.0
2023-04-01,paid social,1114.0,1130.0,83.0,78.0,73.0,68.0,63.0
2023-04-01,organic social,410.0,415.0,26.0,24.0,22.0,20.0,18.0
2023-04-01,paid search,2050.0,2070.0,102.0,97.0,92.0,87.0,82.0
2023-04-01,email,1010.0,1020.0,141.0,131.0,121.0,111.0,101.0
2023-04-01,direct,810.0,820.0,71.0,66.0,61.0,56.0,51.0
2023-04-01,affiliates,312.0,320.0,22.0,21.0,19.0,17.0,15.0
2023-05-01,paid social,1143.0,1160.0,85.0,80.0,75.0,70.0,65.0
2023-05-01,organic social,420.0,425.0,27.0,25.0,23.0,21.0,19.0
2023-05-01,paid search,2100.0,2120.0,104.0,99.0,94.0,89.0,84.0
2023-05-01,email,1030.0,1040.0,143.0,133.0,123.0,113.0,103.0
2023-05-01,direct,830.0,840.0,73.0,68.0,63.0,58.0,53.0
2023-05-01,affiliates,321.0,330.0,23.0,22.0,20.0,18.0,16.0
2023-06-01,paid social,1171.0,1190.0,87.0,82.0,77.0,72.0,67.0
2023-06-01,organic social,430.0,435.0,28.0,26.0,24.0,22.0,20.0
2023-06-01,paid search,2150.0,2170.0,106.0,101.0,96.0,91.0,86.0
2023-06-01,email,1050.0,1060.0,146.0,136.0,126.0,116.0,106.0
2023-06-01,direct,850.0,860.0,75.0,70.0,65.0,60.0,55.0
2023-06-01,affiliates,330.0,340.0,24.0,23.0,21.0,19.0,17.0
2023-07-01,paid social,1200.0,1220.0,89.0,84.0,79.0,74.0,69.0
2023-07-01,organic social,440.0,445.0,29.0,27.0,25.0,23.0,21.0
2023-07-01,paid search,2200.0,2220.0,108.0,103.0,98.0,93.0,88.0
2023-07-01,email,1070.0,1080.0,149.0,139.0,129.0,119.0,109.0
2023-07-01,direct,870.0,880.0,77.0,72.0,67.0,62.0,57.0
2023-07-01,affiliates,339.0,350.0,25.0,24.0,22.0,20.0,18.0
2023-08-01,paid social,1230.0,1250.0,91.0,86.0,81.0,76.0,71.0
2023-08-01,organic social,450.0,455.0,30.0,28.0,26.0,24.0,22.0
2023-08-01,paid search,2250.0,2270.0,110.0,105.0,100.0,95.0,90.0
2023-08-01,email,1090.0,1100.0,152.0,142.0,132.0,122.0,112.0
2023-08-01,direct,890.0,900.0,79.0,74.0,69.0,64.0,59.0
2023-08-01,affiliates,348.0,360.0,26.0,25.0,23.0,21.0,19.0
2023-09-01,paid social,1260.0,1280.0,93.0,88.0,83.0,78.0,73.0
2023-09-01,organic social,460.0,465.0,31.0,29.0,27.0,25.0,23.0
2023-09-01,paid search,2300.0,2320.0,112.0,107.0,102.0,97.0,92.0
2023-09-01,email,1110.0,1120.0,155.0,145.0,135.0,125.0,115.0
2023-09-01,direct,910.0,920.0,80.0,75.0,70.0,65.0,60.0
2023-09-01,affiliates,357.0,370.0,27.0,26.0,24.0,22.0,20.0
2023-10-01,paid social,1290.0,1310.0,95.0,90.0,85.0,80.0,75.0
2023-10-01,organic social,470.0,475.0,32.0,30.0,28.0,26.0,24.0
2023-10-01,paid search,2350.0,2370.0,114.0,109.0,104.0,99.0,94.0
2023-10-01,email,1130.0,1140.0,158.0,148.0,138.0,128.0,118.0
2023-10-01,direct,930.0,940.0,82.0,77.0,72.0,67.0,62.0
2023-10-01,affiliates,366.0,380.0,28.0,27.0,25.0,23.0,21.0
2023-11-01,paid social,1320.0,1340.0,97.0,92.0,87.0,82.0,77.0
2023-11-01,organic social,480.0,485.0,33.0,31.0,29.0,27.0,25.0
2023-11-01,paid search,2400.0,2420.0,116.0,111.0,106.0,101.0,96.0
2023-11-01,email,1150.0,1160.0,161.0,151.0,141.0,131.0,121.0
2023-11-01,direct,950.0,960.0,83.0,78.0,73.0,68.0,63.0
2023-11-01,affiliates,375.0,390.0,29.0,28.0,26.0,24.0,22.0
2023-12-01,paid social,1350.0,1370.0,99.0,94.0,89.0,84.0,79.0
2023-12-01,organic social,490.0,495.0,34.0,32.0,30.0,28.0,26.0
2023-12-01,paid search,2450.0,2470.0,118.0,113.0,108.0,103.0,98.0
2023-12-01,email,1170.0,1180.0,164.0,154.0,144.0,134.0,124.0
2023-12-01,direct,970.0,980.0,85.0,80.0,75.0,70.0,65.0
2023-12-01,affiliates,384.0,400.0,30.0,29.0,27.0,25.0,23.0
2024-01-01,paid social,1066.0,1100.0,80.0,75.0,70.0,65.0,60.0
2024-01-01,organic social,243.0,411.0,18.0,17.0,16.0,15.0,14.0
2024-01-01,paid search,14333.0,27861.0,1000.0,950.0,900.0,850.0,800.0
2024-01-01,email,5014.0,26329.0,350.0,330.0,310.0,290.0,270.0
2024-01-01,direct,10032.0,21639.0,700.0,650.0,600.0,550.0,500.0
2024-01-01,affiliates,1894.0,4069.0,130.0,120.0,110.0,100.0,90.0
2024-02-01,paid social,1044.0,1080.0,78.0,73.0,68.0,63.0,58.0
2024-02-01,organic social,243.0,411.0,18.0,17.0,16.0,15.0,14.0
2024-02-01,paid search,14333.0,27861.0,1000.0,950.0,900.0,850.0,800.0
2024-02-01,email,5014.0,26329.0,350.0,330.0,310.0,290.0,270.0
2024-02-01,direct,10032.0,21639.0,700.0,650.0,600.0,550.0,500.0
2024-02-01,affiliates,1894.0,4069.0,130.0,120.0,110.0,100.0,90.0
2024-03-01,paid social,1160.0,1180.0,88.0,83.0,78.0,73.0,68.0
2024-03-01,organic social,243.0,411.0,18.0,17.0,16.0,15.0,14.0
2024-03-01,paid search,14333.0,27861.0,1000.0,950.0,900.0,850.0,800.0
2024-03-01,email,5014.0,26329.0,350.0,330.0,310.0,290.0,270.0
2024-03-01,direct,10032.0,21639.0,700.0,650.0,600.0,550.0,500.0
2024-03-01,affiliates,1894.0,4069.0,130.0,120.0,110.0,100.0,90.0
2024-04-01,paid social,1200.0,1220.0,90.0,85.0,80.0,75.0,70.0
2024-04-01,organic social,243.0,411.0,18.0,17.0,16.0,15.0,14.0
2024-04-01,paid search,14333.0,27861.0,1000.0,950.0,900.0,850.0,800.0
2024-04-01,email,5014.0,26329.0,350.0,330.0,310.0,290.0,270.0
2024-04-01,direct,10032.0,21639.0,700.0,650.0,600.0,550.0,500.0
2024-04-01,affiliates,1894.0,4069.0,130.0,120.0,110.0,100.0,90.0
2024-05-01,paid social,1240.0,1260.0,92.0,87.0,82.0,77.0,72.0
2024-05-01,organic social,243.0,411.0,18.0,17.0,16.0,15.0,14.0
2024-05-01,paid search,14333.0,27861.0,1000.0,950.0,900.0,850.0,800.0
2024-05-01,email,5014.0,26329.0,350.0,330.0,310.0,290.0,270.0
2024-05-01,direct,10032.0,21639.0,700.0,650.0,600.0,550.0,500.0
2024-05-01,affiliates,1894.0,4069.0,130.0,120.0,110.0,100.0,90.0
2024-06-01,paid social,1280.0,1300.0,94.0,89.0,84.0,79.0,74.0
2024-06-01,organic social,243.0,411.0,18.0,17.0,16.0,15.0,14.0
2024-06-01,paid search,14333.0,27861.0,1000.0,950.0,900.0,850.0,800.0
2024-06-01,email,5014.0,26329.0,350.0,330.0,310.0,290.0,270.0
2024-06-01,direct,10032.0,21639.0,700.0,650.0,600.0,550.0,500.0
2024-06-01,affiliates,1894.0,4069.0,130.0,120.0,110.0,100.0,90.0
2024-07-01,paid social,1320.0,1340.0,96.0,91.0,86.0,81.0,76.0
2024-07-01,organic social,243.0,411.0,18.0,17.0,16.0,15.0,14.0
2024-07-01,paid search,14333.0,27861.0,1000.0,950.0,900.0,850.0,800.0
2024-07-01,email,5014.0,26329.0,350.0,330.0,310.0,290.0,270.0
2024-07-01,direct,10032.0,21639.0,700.0,650.0,600.0,550.0,500.0
2024-07-01,affiliates,1894.0,4069.0,130.0,120.0,110.0,100.0,90.0
2024-08-01,paid social,1360.0,1380.0,98.0,93.0,88.0,83.0,78.0
2024-08-01,organic social,243.0,411.0,18.0,17.0,16.0,15.0,14.0
2024-08-01,paid search,14333.0,27861.0,1000.0,950.0,900.0,850.0,800.0
2024-08-01,email,5014.0,26329.0,350.0,330.0,310.0,290.0,270.0
2024-08-01,direct,10032.0,21639.0,700.0,650.0,600.0,550.0,500.0
2024-08-01,affiliates,1894.0,4069.0,130.0,120.0,110.0,100.0,90.0
2024-09-01,paid social,1400.0,1420.0,100.0,95.0,90.0,85.0,80.0
2024-09-01,organic social,243.0,411.0,18.0,17.0,16.0,15.0,14.0
2024-09-01,paid search,14333.0,27861.0,1000.0,950.0,900.0,850.0,800.0
2024-09-01,email,5014.0,26329.0,350.0,330.0,310.0,290.0,270.0
2024-09-01,direct,10032.0,21639.0,700.0,650.0,600.0,550.0,500.0
2024-09-01,affiliates,1894.0,4069.0,130.0,120.0,110.0,100.0,90.0
2024-10-01,paid social,1440.0,1460.0,102.0,97.0,92.0,87.0,82.0
2024-10-01,organic social,243.0,411.0,18.0,17.0,16.0,15.0,14.0
2024-10-01,paid search,14333.0,27861.0,1000.0,950.0,900.0,850.0,800.0
2024-10-01,email,5014.0,26329.0,350.0,330.0,310.0,290.0,270.0
2024-10-01,direct,10032.0,21639.0,700.0,650.0,600.0,550.0,500.0
2024-10-01,affiliates,1894.0,4069.0,130.0,120.0,110.0,100.0,90.0
2024-11-01,paid social,1480.0,1500.0,104.0,99.0,94.0,89.0,84.0
2024-11-01,organic social,243.0,411.0,18.0,17.0,16.0,15.0,14.0
2024-11-01,paid search,14333.0,27861.0,1000.0,950.0,900.0,850.0,800.0
2024-11-01,email,5014.0,26329.0,350.0,330.0,310.0,290.0,270.0
2024-11-01,direct,10032.0,21639.0,700.0,650.0,600.0,550.0,500.0
2024-11-01,affiliates,1894.0,4069.0,130.0,120.0,110.0,100.0,90.0
2024-12-01,paid social,1500.0,1520.0,106.0,101.0,96.0,91.0,86.0
2024-12-01,organic social,243.0,411.0,18.0,17.0,16.0,15.0,14.0
2024-12-01,paid search,14333.0,27861.0,1000.0,950.0,900.0,850.0,800.0
2024-12-01,email,5014.0,26329.0,350.0,330.0,310.0,290.0,270.0
2024-12-01,direct,10032.0,21639.0,700.0,650.0,600.0,550.0,500.0
2024-12-01,affiliates,1894.0,4069.0,130.0,120.0,110.0,100.0,90.0
2025-01-01,paid social,1510.0,1530.0,108.0,103.0,98.0,93.0,88.0
2025-01-01,organic social,99.0,173.0,0.0,0.0,0.0,0.0,0.0
2025-01-01,paid search,5653.0,11453.0,0.0,0.0,0.0,0.0,0.0
2025-01-01,email,1545.0,8605.0,0.0,0.0,0.0,0.0,0.0
2025-01-01,direct,3401.0,8038.0,0.0,0.0,0.0,0.0,0.0
2025-01-01,affiliates,856.0,1939.0,0.0,0.0,0.0,0.0,0.0
2025-02-01,paid social,1510.0,1530.0,0.0,0.0,0.0,0.0,0.0
2025-02-01,organic social,99.0,173.0,0.0,0.0,0.0,0.0,0.0
2025-02-01,paid search,5653.0,11453.0,0.0,0.0,0.0,0.0,0.0
2025-02-01,email,1545.0,8605.0,0.0,0.0,0.0,0.0,0.0
2025-02-01,direct,3401.0,8038.0,0.0,0.0,0.0,0.0,0.0
2025-02-01,affiliates,856.0,1939.0,0.0,0.0,0.0,0.0,0.0
2025-03-01,paid social,1530.0,1550.0,0.0,0.0,0.0,0.0,0.0
2025-03-01,organic social,99.0,173.0,0.0,0.0,0.0,0.0,0.0
2025-03-01,paid search,5653.0,11453.0,0.0,0.0,0.0,0.0,0.0
2025-03-01,email,1545.0,8605.0,0.0,0.0,0.0,0.0,0.0
2025-03-01,direct,3401.0,8038.0,0.0,0.0,0.0,0.0,0.0
2025-03-01,affiliates,856.0,1939.0,0.0,0.0,0.0,0.0,0.0
2025-04-01,paid social,1550.0,1570.0,0.0,0.0,0.0,0.0,0.0
2025-04-01,organic social,99.0,173.0,0.0,0.0,0.0,0.0,0.0
2025-04-01,paid search,5653.0,11453.0,0.0,0.0,0.0,0.0,0.0
2025-04-01,email,1545.0,8605.0,0.0,0.0,0.0,0.0,0.0
2025-04-01,direct,3401.0,8038.0,0.0,0.0,0.0,0.0,0.0
2025-04-01,affiliates,856.0,1939.0,0.0,0.0,0.0,0.0,0.0
2025-05-01,paid social,1570.0,1590.0,0.0,0.0,0.0,0.0,0.0
2025-05-01,organic social,99.0,173.0,0.0,0.0,0.0,0.0,0.0
2025-05-01,paid search,5653.0,11453.0,0.0,0.0,0.0,0.0,0.0
2025-05-01,email,1545.0,8605.0,0.0,0.0,0.0,0.0,0.0
2025-05-01,direct,3401.0,8038.0,0.0,0.0,0.0,0.0,0.0
2025-05-01,affiliates,856.0,1939.0,0.0,0.0,0.0,0.0,0.0
