YEAR,MONTH,CHANNEL,Spend,Total_Returns,Total_Revenue,Orders_Existing,Customers_Existing,Orders_New,Customers_New
2025,FEBRUARY,Unattributed,0.0,0.0,0.0,0.0,232.0,0.0,202.0
2025,MARCH,Affiliate,12631.0,0.0,0.0,0.0,166.0,0.0,168.0
2025,MARCH,Affiliate Agency,6222.0,0.0,0.0,0.0,0.0,0.0,0.0
2025,MARCH,Direct,0.0,0.0,0.0,0.0,692.0,0.0,639.0
2025,MARCH,Email,0.0,0.0,0.0,0.0,1219.0,0.0,290.0
2025,MARCH,Organic Search,0.0,0.0,0.0,0.0,416.0,0.0,460.0
2025,MARCH,Organic Social,0.0,0.0,0.0,0.0,13.0,0.0,20.0
2025,MARCH,Other,0.0,0.0,0.0,0.0,766.0,0.0,753.0
2025,MARCH,Paid Search,76624.0,0.0,0.0,0.0,1264.0,0.0,1433.0
2025,MARCH,Paid Search Agency,8192.0,0.0,0.0,0.0,0.0,0.0,0.0
2025,MARCH,Paid Social,153218.0,0.0,0.0,0.0,553.0,0.0,836.0
2025,MARCH,Paid Social Agency,16380.0,0.0,0.0,0.0,0.0,0.0,0.0
2025,MARCH,SMS,0.0,0.0,0.0,0.0,195.0,0.0,85.0
2025,MARCH,TOTAL,242473.0,0.0,0.0,0.0,0.0,0.0,0.0
2025,MARCH,TOTAL Agency,30794.0,0.0,0.0,0.0,0.0,0.0,0.0
2025,MARCH,Unattributed,0.0,0.0,0.0,0.0,315.0,0.0,148.0
2025,APRIL,Affiliate,13265.0,0.0,0.0,0.0,172.0,0.0,128.0
2025,APRIL,Affiliate Agency,6460.0,0.0,0.0,0.0,0.0,0.0,0.0
2025,APRIL,Direct,0.0,0.0,0.0,0.0,684.0,0.0,538.0
2025,APRIL,Email,0.0,0.0,0.0,0.0,1637.0,0.0,345.0
2025,APRIL,Organic Search,0.0,0.0,0.0,0.0,501.0,0.0,455.0
2025,APRIL,Organic Social,0.0,0.0,0.0,0.0,16.0,0.0,12.0
2025,APRIL,Other,0.0,0.0,0.0,0.0,466.0,0.0,400.0
2025,APRIL,Paid Search,80616.0,0.0,0.0,0.0,1364.0,0.0,1322.0
2025,APRIL,Paid Search Agency,8339.0,0.0,0.0,0.0,0.0,0.0,0.0
2025,APRIL,Paid Social,151295.0,0.0,0.0,0.0,550.0,0.0,634.0
2025,APRIL,Paid Social Agency,15651.0,0.0,0.0,0.0,0.0,0.0,0.0
2025,APRIL,SMS,0.0,0.0,0.0,0.0,214.0,0.0,66.0
2025,APRIL,TOTAL,245176.0,0.0,0.0,0.0,0.0,0.0,0.0
2025,APRIL,TOTAL Agency,30450.0,0.0,0.0,0.0,0.0,0.0,0.0
2025,APRIL,Unattributed,0.0,0.0,0.0,0.0,264.0,0.0,104.0
2025,MAY,Affiliate,18461.0,0.0,0.0,0.0,0.0,0.0,0.0
2025,MAY,Affiliate Agency,8978.0,0.0,0.0,0.0,0.0,0.0,0.0
2025,MAY,Paid Search,79749.0,0.0,0.0,0.0,0.0,0.0,0.0
2025,MAY,Paid Search Agency,7501.0,0.0,0.0,0.0,0.0,0.0,0.0
2025,MAY,Paid Social,238355.0,0.0,0.0,0.0,0.0,0.0,0.0
2025,MAY,Paid Social Agency,22418.0,0.0,0.0,0.0,0.0,0.0,0.0
2025,MAY,TOTAL,336565.0,0.0,0.0,0.0,0.0,0.0,0.0
2025,MAY,TOTAL Agency,38897.0,0.0,0.0,0.0,0.0,0.0,0.0
2025,JUNE,TOTAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025,JUNE,TOTAL Agency,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025,JULY,TOTAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025,JULY,TOTAL Agency,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025,AUGUST,TOTAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025,AUGUST,TOTAL Agency,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025,SEPTEMBER,TOTAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025,SEPTEMBER,TOTAL Agency,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025,OCTOBER,TOTAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025,OCTOBER,TOTAL Agency,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025,NOVEMBER,TOTAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025,NOVEMBER,TOTAL Agency,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025,DECEMBER,TOTAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025,DECEMBER,TOTAL Agency,0.0,0.0,0.0,0.0,0.0,0.0,0.0
