CHANNEL,YEAR,MONTH,Customer_Type,Orders,Customers,Media_Spend
Paid Search Media,2024,DECEMBER,Existing,0.0,2220.0,92682.0
Paid Search Media,2024,DECEMBER,New,0.0,2688.0,92682.0
Paid Search Media,2024,FEBRUARY,Existing,968.0,932.0,31642.31
Paid Search Media,2024,FEBRUARY,New,1068.0,1085.0,31642.31
Paid Search Media,2024,JANUARY,Existing,1041.0,1010.0,33131.2
Paid Search Media,2024,JANUARY,New,1398.0,1380.0,33131.2
Paid Search Media,2024,JULY,Existing,951.0,901.0,56408.21
Paid Search Media,2024,JULY,New,1019.0,1011.0,56408.21
Paid Search Media,2024,JUNE,Existing,942.0,916.0,41934.92
Paid Search Media,2024,JUNE,New,939.0,933.0,41934.92
Paid Search Media,2024,MARCH,Existing,978.0,935.0,31725.23
Paid Search Media,2024,MARCH,New,963.0,955.0,31725.23
Paid Search Media,2024,MAY,Existing,1276.0,1232.0,48251.61
Paid Search Media,2024,MAY,New,1409.0,1399.0,48251.61
Paid Search Media,2024,NOVEMBER,Existing,0.0,1986.0,88112.0
Paid Search Media,2024,NOVEMBER,New,0.0,1969.0,88112.0
Paid Search Media,2024,OCTOBER,Existing,0.0,1095.0,68150.0
Paid Search Media,2024,OCTOBER,New,0.0,1224.0,68150.0
Paid Search Media,2024,SEPTEMBER,Existing,0.0,1083.0,51646.0
Paid Search Media,2024,SEPTEMBER,New,0.0,1307.0,51646.0
Paid Search Media,2025,APRIL,,0.0,0.0,80616.0
Paid Search Media,2025,FEBRUARY,,0.0,0.0,53764.0
Paid Search Media,2025,JANUARY,,0.0,0.0,52392.0
Paid Search Media,2025,MARCH,,0.0,0.0,76624.0
Paid Search Media,2025,MAY,,0.0,0.0,79749.0
Paid Social Media,2023,APRIL,Existing,100.0,95.0,0.0
Paid Social Media,2023,AUGUST,Existing,100.0,95.0,0.0
Paid Social Media,2023,DECEMBER,Existing,100.0,95.0,0.0
Paid Social Media,2023,FEBRUARY,Existing,106.0,101.0,0.0
Paid Social Media,2023,JANUARY,Existing,124.0,118.0,0.0
Paid Social Media,2023,JULY,Existing,100.0,95.0,0.0
Paid Social Media,2023,JUNE,Existing,100.0,95.0,0.0
Paid Social Media,2023,MARCH,Existing,104.0,99.0,0.0
Paid Social Media,2023,MAY,Existing,100.0,95.0,0.0
Paid Social Media,2023,NOVEMBER,Existing,100.0,95.0,0.0
Paid Social Media,2023,OCTOBER,Existing,100.0,95.0,0.0
Paid Social Media,2023,SEPTEMBER,Existing,100.0,95.0,0.0
Paid Social Media,2024,APRIL,New,103.0,105.0,0.0
Paid Social Media,2024,AUGUST,New,102.0,103.0,0.0
Paid Social Media,2024,DECEMBER,New,102.0,103.0,0.0
Paid Social Media,2024,FEBRUARY,New,110.0,112.0,0.0
Paid Social Media,2024,JANUARY,New,108.0,110.0,0.0
Paid Social Media,2024,JULY,New,102.0,103.0,0.0
Paid Social Media,2024,JUNE,New,102.0,103.0,0.0
Paid Social Media,2024,MARCH,New,106.0,109.0,0.0
Paid Social Media,2024,MAY,New,102.0,103.0,0.0
Paid Social Media,2024,NOVEMBER,New,102.0,103.0,0.0
Paid Social Media,2024,OCTOBER,New,102.0,103.0,0.0
Paid Social Media,2024,SEPTEMBER,New,102.0,103.0,0.0
