month,channel,total_revenue,total_orders,aov,total_spend,new_customers,existing_customers,new_customer_orders,existing_customer_orders,sessions,users,spend,impressions,clicks,returned_value,technology_spend,revenue_share,returns_value_dist,technology_spend_dist,net_revenue
12/1/2024,Paid Search,620000,4800,129.17,124000,2600,1020,2620,2180,44000,40000,124000,2480000,49600,38000,21000,0.33514,12735.32,7037.94,607265
12/1/2024,Paid Social,340000,2850,119.3,84000,1500,570,1520,1330,37000,33000,84000,2300000,46000,38000,21000,0.18378,6983.64,3859.38,333016
12/1/2024,TikTok,58000,450,128.89,48000,384,95,390,60,9500,9000,48000,1200000,12000,38000,21000,0.03135,1191.3,658.35,56809
1/1/2025,Affiliate,88000,730,120.55,17600,414,138,425,305,3900,3600,17600,880000,4400,36000,20500,0.04949,1781.64,1014.55,86218
1/1/2025,Direct,250000,2050,121.95,0,1010,1515,1020,1030,19500,17500,0,0,0,36000,20500,0.1406,5061.6,2882.3,244938
1/1/2025,Email,390000,3500,111.43,7100,1210,4840,1220,2280,28500,23500,7100,360000,36000,36000,20500,0.21935,7896.6,4496.68,382103
1/1/2025,Organic Social,175000,1650,106.06,3550,505,2020,510,1140,15500,13500,3550,177500,8875,36000,20500,0.09842,3543.12,2017.61,171457
1/1/2025,Paid Search,605000,4710,128.45,121000,2580,1010,2600,2110,43000,39000,121000,2420000,48400,36000,20500,0.34027,12249.72,6975.54,592750
1/1/2025,Paid Social,330000,2770,119.13,82000,1490,565,1510,1260,36000,32000,82000,2250000,45000,36000,20500,0.1856,6681.6,3804.8,323318
1/1/2025,TikTok,56000,435,128.74,47000,376,92,380,55,9200,8700,47000,1175000,11750,36000,20500,0.0315,1134,645.75,54866
2/1/2025,Affiliate,92000,760,121.05,18400,423,141,435,325,4100,3800,18400,920000,4600,38000,21500,0.04949,1880.62,1063.54,90119
2/1/2025,Direct,260000,2150,120.93,0,1030,1545,1040,1110,20500,18500,0,0,0,38000,21500,0.13986,5314.68,3006.99,254685
2/1/2025,Email,410000,3700,110.81,7300,1230,4920,1240,2460,29500,24500,7300,380000,38000,38000,21500,0.22055,8380.9,4741.83,401619
2/1/2025,Organic Social,185000,1750,105.71,3650,515,2060,520,1230,16500,14500,3650,187500,9375,38000,21500,0.09952,3781.76,2139.68,181218
2/1/2025,Paid Search,630000,4900,128.57,126000,2620,1030,2640,2260,45000,41000,126000,2520000,50400,38000,21500,0.33889,12877.82,7286.14,617122
2/1/2025,Paid Social,345000,2880,119.79,85000,1510,575,1530,1350,37000,33000,85000,2350000,47000,38000,21500,0.18558,7052.04,3989.98,337948
2/1/2025,TikTok,60000,460,130.43,50000,392,98,400,60,9800,9300,50000,1250000,12500,38000,21500,0.03227,1226.26,693.81,58774
3/1/2025,Affiliate,95000,780,121.79,19000,432,144,445,335,4200,3900,19000,950000,4750,40000,22000,0.04945,1978,1087.9,93022
3/1/2025,Direct,270000,2250,120,0,1050,1575,1060,1190,21000,19000,0,0,0,40000,22000,0.14056,5622.4,3092.32,264378
3/1/2025,Email,430000,3900,110.26,7500,1250,5000,1260,2640,30000,25000,7500,400000,40000,40000,22000,0.22384,8953.6,4924.48,421046
3/1/2025,Organic Social,195000,1850,105.41,3750,525,2100,530,1320,17000,15000,3750,197500,9875,40000,22000,0.10151,4060.4,2233.22,190940
3/1/2025,Paid Search,655000,5100,128.43,131000,2660,1050,2680,2420,46000,42000,131000,2620000,52400,40000,22000,0.34098,13639.2,7401.56,641361
3/1/2025,Paid Social,360000,3000,120,88000,1530,580,1550,1450,38000,34000,88000,2450000,49000,40000,22000,0.1874,7496,4122.8,352504
3/1/2025,TikTok,64000,480,133.33,52000,408,102,415,65,10200,9700,52000,1300000,13000,40000,22000,0.03332,1332.8,733.04,62667
4/1/2025,Affiliate,98000,800,122.5,19600,441,147,455,345,4300,4000,19600,980000,4900,42000,22500,0.04952,2079.84,1114.2,95920
4/1/2025,Direct,280000,2350,119.15,0,1070,1605,1080,1270,21500,19500,0,0,0,42000,22500,0.14148,5942.16,3183.3,274058
4/1/2025,Email,450000,4100,109.76,7700,1270,5080,1280,2820,30500,25500,7700,420000,42000,42000,22500,0.22739,9550.38,5116.28,440449
4/1/2025,Organic Social,205000,1950,105.13,3850,535,2140,540,1410,17500,15500,3850,207500,10375,42000,22500,0.10359,4350.78,2330.78,200649
4/1/2025,Paid Search,680000,5300,128.3,136000,2700,1070,2720,2580,47000,43000,136000,2720000,54400,42000,22500,0.34361,14431.62,7731.23,665568
4/1/2025,Paid Social,375000,3120,120.19,91000,1550,590,1570,1550,39000,35000,91000,2550000,51000,42000,22500,0.18949,7958.58,4263.53,367041
4/1/2025,TikTok,68000,500,136,54000,424,106,430,70,10500,10000,54000,1350000,13500,42000,22500,0.03436,1443.16,773.12,66557
5/1/2025,Affiliate,100000,820,121.95,20000,450,150,465,355,4400,4100,20000,1000000,5000,44000,23000,0.04948,2177.12,1138.04,97823
5/1/2025,Direct,290000,2450,118.37,0,1090,1635,1100,1350,22000,20000,0,0,0,44000,23000,0.14349,6313.56,3290.27,283686
5/1/2025,Email,470000,4300,109.3,7900,1290,5160,1300,3000,31000,26000,7900,440000,44000,44000,23000,0.23256,10232.6,5348.88,459767
5/1/2025,Organic Social,215000,2050,104.88,3950,545,2180,550,1500,18000,16000,3950,217500,10875,44000,23000,0.10638,4680.72,2446.74,210319
5/1/2025,Paid Search,705000,5500,128.18,141000,2740,1090,2760,2740,48000,44000,141000,2820000,56400,44000,23000,0.34884,15348.88,8023.32,689651
5/1/2025,Paid Social,390000,3240,120.37,94000,1570,600,1590,1650,40000,36000,94000,2650000,53000,44000,23000,0.19297,8490.68,4438.31,381509
5/1/2025,TikTok,71000,520,136.54,56000,440,110,445,75,11000,10500,56000,1400000,14000,44000,23000,0.03513,1545.72,807.99,69454
1/1/2023,Affiliate,60000,500,120,12000,285,95,290,210,2700,2400,12000,600000,3000,24000,14500,0.04898,1175.52,700.21,58824
1/1/2023,Direct,180000,1400,128.57,0,750,1125,760,640,13000,11000,0,0,0,24000,14500,0.14693,3526.32,2120.48,176474
1/1/2023,Email,260000,2300,113.04,4800,950,3800,960,1340,22000,17000,4800,240000,24000,24000,14500,0.21224,5093.76,3077.48,254906
1/1/2023,Organic Social,110000,1000,110,2400,380,1520,385,615,9000,7000,2400,120000,6000,24000,14500,0.0898,2155.2,1292.1,107845
1/1/2023,Paid Search,420000,3200,131.25,84000,1900,760,1920,1280,30000,26000,84000,1680000,33600,24000,14500,0.34286,8228.64,4971.48,411771
1/1/2023,Paid Social,200000,1600,125,55000,1028,412,1040,560,23000,19000,55000,1500000,30000,24000,14500,0.16327,3918.48,2367.41,196081
2/1/2023,Affiliate,62000,520,119.23,12400,294,98,300,220,2800,2500,12400,620000,3100,25000,15000,0.04928,1232,739.2,60768
2/1/2023,Direct,185000,1450,127.59,0,770,1155,780,670,13500,11500,0,0,0,25000,15000,0.14706,3676.5,2205.9,181324
2/1/2023,Email,270000,2400,112.5,5000,970,3880,980,1420,22500,17500,5000,250000,25000,25000,15000,0.21462,5365.5,3219.3,264635
2/1/2023,Organic Social,115000,1050,109.52,2500,390,1560,395,655,9500,7500,2500,125000,6250,25000,15000,0.09141,2285.25,1371.15,112715
2/1/2023,Paid Search,435000,3300,131.82,87000,1950,780,1970,1330,31000,27000,87000,1740000,34800,25000,15000,0.34579,8644.75,5186.85,426355
2/1/2023,Paid Social,210000,1650,127.27,58000,1057,423,1070,580,24000,20000,58000,1550000,31000,25000,15000,0.16693,4173.25,2503.95,205827
3/1/2023,Affiliate,64000,540,118.52,12800,303,101,310,230,2900,2600,12800,640000,3200,26000,15500,0.04946,1285.96,766.62,62714
3/1/2023,Direct,190000,1500,126.67,0,790,1185,800,700,14000,12000,0,0,0,26000,15500,0.14687,3818.62,2276.48,186181
3/1/2023,Email,280000,2500,112,5200,990,3960,1000,1500,23000,18000,5200,260000,26000,26000,15500,0.21646,5627.96,3355.13,274372
3/1/2023,Organic Social,120000,1100,109.09,2600,400,1600,405,695,10000,8000,2600,130000,6500,26000,15500,0.09274,2411.24,1437.47,117589
3/1/2023,Paid Search,450000,3400,132.35,90000,2000,800,2020,1380,32000,28000,90000,1800000,36000,26000,15500,0.34795,9046.7,5393.23,440953
3/1/2023,Paid Social,220000,1700,129.41,60000,1086,434,1100,600,25000,21000,60000,1600000,32000,26000,15500,0.16999,4419.74,2634.85,215580
4/1/2023,Affiliate,66000,560,117.86,13200,312,104,320,240,3000,2700,13200,660000,3300,27000,16000,0.04966,1340.82,794.56,64659
4/1/2023,Direct,195000,1550,125.81,0,810,1215,820,730,14500,12500,0,0,0,27000,16000,0.14671,3961.17,2347.36,191039
4/1/2023,Email,290000,2600,111.54,5400,1010,4040,1020,1580,23500,18500,5400,270000,27000,27000,16000,0.21818,5890.86,3490.88,284109
4/1/2023,Organic Social,125000,1150,108.7,2700,410,1640,415,735,10500,8500,2700,135000,6750,27000,16000,0.09406,2539.62,1504.96,122460
4/1/2023,Paid Search,465000,3500,132.86,93000,2050,820,2070,1430,33000,29000,93000,1860000,37200,27000,16000,0.35,9450,5600,455550
4/1/2023,Paid Social,230000,1750,131.43,62000,1114,446,1130,620,26000,22000,62000,1650000,33000,27000,16000,0.17306,4672.62,2768.96,225327
5/1/2023,Affiliate,68000,580,117.24,13600,321,107,330,250,3100,2800,13600,680000,3400,28000,16500,0.04985,1395.8,822.53,66604
5/1/2023,Direct,200000,1600,125,0,830,1245,840,760,15000,13000,0,0,0,28000,16500,0.14666,4106.48,2419.89,195893
5/1/2023,Email,300000,2700,111.11,5600,1030,4120,1040,1660,24000,19000,5600,280000,28000,28000,16500,0.21994,6158.32,3628.01,293842
5/1/2023,Organic Social,130000,1200,108.33,2800,420,1680,425,775,11000,9000,2800,140000,7000,28000,16500,0.09531,2668.68,1572.61,127331
5/1/2023,Paid Search,480000,3600,133.33,96000,2100,840,2120,1480,34000,30000,96000,1920000,38400,28000,16500,0.35198,9855.44,5807.67,470145
5/1/2023,Paid Social,240000,1800,133.33,64000,1143,457,1160,640,27000,23000,64000,1700000,34000,28000,16500,0.17596,4926.88,2903.34,235073
6/1/2023,Affiliate,70000,600,116.67,14000,330,110,340,260,3200,2900,14000,700000,3500,29000,17000,0.04968,1440.72,844.56,68559
6/1/2023,Direct,205000,1650,124.24,0,850,1275,860,790,15500,13500,0,0,0,29000,17000,0.1455,4219.5,2473.5,200781
6/1/2023,Email,310000,2800,110.71,5800,1050,4200,1060,1740,24500,19500,5800,290000,29000,29000,17000,0.21987,6376.23,3737.79,303624
6/1/2023,Organic Social,135000,1250,108,2900,430,1720,435,815,11500,9500,2900,145000,7250,29000,17000,0.09574,2776.46,1627.58,132224
6/1/2023,Paid Search,495000,3700,133.78,99000,2150,860,2170,1530,35000,31000,99000,1980000,39600,29000,17000,0.35096,10177.84,5966.32,484822
6/1/2023,Paid Social,250000,1850,135.14,66000,1171,469,1190,660,28000,24000,66000,1750000,35000,29000,17000,0.17726,5140.54,3013.42,244859
7/1/2023,Affiliate,72000,620,116.13,14400,339,113,350,270,3300,3000,14400,720000,3600,30000,17500,0.04969,1490.7,869.58,70509
7/1/2023,Direct,210000,1700,123.53,0,870,1305,880,820,16000,14000,0,0,0,30000,17500,0.14493,4347.9,2536.28,205652
7/1/2023,Email,320000,2900,110.34,6000,1070,4280,1080,1820,25000,20000,6000,300000,30000,30000,17500,0.22084,6625.2,3864.7,313375
7/1/2023,Organic Social,140000,1300,107.69,3000,440,1760,445,855,12000,10000,3000,150000,7500,30000,17500,0.09662,2898.6,1690.85,137101
7/1/2023,Paid Search,510000,3800,134.21,102000,2200,880,2220,1580,36000,32000,102000,2040000,40800,30000,17500,0.35197,10559.1,6159.48,499441
7/1/2023,Paid Social,260000,1900,136.84,68000,1200,480,1220,680,29000,25000,68000,1800000,36000,30000,17500,0.17945,5383.5,3140.38,254617
8/1/2023,Affiliate,74000,640,115.63,14800,348,116,360,280,3400,3100,14800,740000,3700,31000,18000,0.0497,1540.7,894.6,72459
8/1/2023,Direct,215000,1750,122.86,0,890,1335,900,850,16500,14500,0,0,0,31000,18000,0.14636,4537.16,2634.48,210463
8/1/2023,Email,330000,3000,110,6200,1090,4360,1100,1900,25500,20500,6200,310000,31000,31000,18000,0.22464,6963.84,4043.52,323036
8/1/2023,Organic Social,145000,1350,107.41,3100,450,1800,455,895,12500,10500,3100,155000,7750,31000,18000,0.09871,3059.01,1776.78,141941
8/1/2023,Paid Search,525000,3900,134.62,105000,2250,900,2270,1630,37000,33000,105000,2100000,42000,31000,18000,0.35739,11079.09,6433.02,513921
8/1/2023,Paid Social,270000,1950,138.46,70000,1230,490,1250,700,30000,26000,70000,1850000,37000,31000,18000,0.1838,5700,3308.4,264300
9/1/2023,Affiliate,76000,660,115.15,15200,357,119,370,290,3500,3200,15200,760000,3800,32000,18500,0.04977,1592.64,920.73,74407
9/1/2023,Direct,220000,1800,122.22,0,910,1365,920,880,17000,15000,0,0,0,32000,18500,0.14404,4609.28,2664.74,215391
9/1/2023,Email,340000,3100,109.68,6400,1110,4440,1120,1980,26000,21000,6400,320000,32000,32000,18500,0.22252,7120.64,4116.62,332879
9/1/2023,Organic Social,150000,1400,107.14,3200,460,1840,465,935,13000,11000,3200,160000,8000,32000,18500,0.09823,3143.36,1817.27,146857
9/1/2023,Paid Search,540000,4000,135,108000,2300,920,2320,1680,38000,34000,108000,2160000,43200,32000,18500,0.35347,11311.04,6538.69,528689
