source,metric,value,date
"Datahub
(Shopify)",REPEAT CUSTOMER RATE,46.86,2022-01-01
"Datahub
(Shopify)",REPEAT CUSTOMER RATE,40.72,2021-01-01
Datahub,MEDIA ROAS (only ad cost),2.3,2025-01-01
Datahub,MEDIA ROAS (only ad cost),3.3,2024-01-01
Datahub,MEDIA ROAS (only ad cost),2.9,2023-01-01
Datahub,MEDIA ROAS (only ad cost),2.6,2022-01-01
Datahub,MEDIA ROAS (only ad cost),4.1,2021-01-01
Datahub,"MARKETING ROAS 
(ad cost, agency cost, organic search, email/SMS)",5.7,2025-01-01
Datahub,"MARKETING ROAS 
(ad cost, agency cost, organic search, email/SMS)",6.8,2024-01-01
Datahub,"MARKETING ROAS 
(ad cost, agency cost, organic search, email/SMS)",,2023-01-01
Datahub,"MARKETING ROAS 
(ad cost, agency cost, organic search, email/SMS)",,2022-01-01
Datahub,"MARKETING ROAS 
(ad cost, agency cost, organic search, email/SMS)",,2021-01-01
"Listrak = Based on full file""sends"" in-month 
Insider = Based on list size in portal",EMAIL LIST SIZE,315415.0,2025-01-01
"Listrak = Based on full file""sends"" in-month 
Insider = Based on list size in portal",EMAIL LIST SIZE,,2024-01-01
"Listrak = Based on full file""sends"" in-month 
Insider = Based on list size in portal",EMAIL LIST SIZE,,2023-01-01
"Listrak = Based on full file""sends"" in-month 
Insider = Based on list size in portal",EMAIL LIST SIZE,,2022-01-01
"Listrak = Based on full file""sends"" in-month 
Insider = Based on list size in portal",EMAIL LIST SIZE,,2021-01-01
Datahub,CAC,37.27,2025-01-01
Datahub,CAC,23.79,2024-01-01
Datahub,CAC,26.83,2023-01-01
Datahub,CAC,30.59,2022-01-01
Datahub,CAC,13.41,2021-01-01
Datahub,TOTAL COST (Ads & Agency Fees),,2025-01-01
Datahub,TOTAL COST (Ads & Agency Fees),141037.0,2024-01-01
Datahub,TOTAL COST (Ads & Agency Fees),188446.0,2023-01-01
Datahub,TOTAL COST (Ads & Agency Fees),188274.0,2022-01-01
Datahub,TOTAL COST (Ads & Agency Fees),56661.0,2021-01-01
Datahub,CPO,,2025-01-01
Datahub,CPO,14.86,2024-01-01
Datahub,CPO,20.28,2023-01-01
Datahub,CPO,21.03,2022-01-01
Datahub,CPO,7.66,2021-01-01
"Datahub
(Shopify)","GROSS-DISC
Missing 4 months of 21 because of migration from Magento to Shopify",876298.0,2025-02-01
"Datahub
(Shopify)","GROSS-DISC
Missing 4 months of 21 because of migration from Magento to Shopify",954880.12,2024-02-01
"Datahub
(Shopify)","GROSS-DISC
Missing 4 months of 21 because of migration from Magento to Shopify",784298.0,2023-02-01
"Datahub
(Shopify)","GROSS-DISC
Missing 4 months of 21 because of migration from Magento to Shopify",833715.0,2022-02-01
"Datahub
(Shopify)","GROSS-DISC
Missing 4 months of 21 because of migration from Magento to Shopify",615627.0,2021-02-01
"Datahub
(GA4)","SESSIONS
Measurement changed after GA4 in June 23.",263346.0,2025-02-01
"Datahub
(GA4)","SESSIONS
Measurement changed after GA4 in June 23.",270374.0,2024-02-01
"Datahub
(GA4)","SESSIONS
Measurement changed after GA4 in June 23.",345550.0,2023-02-01
"Datahub
(GA4)","SESSIONS
Measurement changed after GA4 in June 23.",272620.0,2022-02-01
"Datahub
(GA4)","SESSIONS
Measurement changed after GA4 in June 23.",141890.0,2021-02-01
"Datahub
(Shopify)",ORDERS,7955.0,2025-02-01
"Datahub
(Shopify)",ORDERS,8107.0,2024-02-01
"Datahub
(Shopify)",ORDERS,7448.0,2023-02-01
"Datahub
(Shopify)",ORDERS,7457.0,2022-02-01
"Datahub
(Shopify)",ORDERS,5667.0,2021-02-01
"Datahub
(Shopify)",TOTAL CUSTOMERS,7641.0,2025-02-01
"Datahub
(Shopify)",TOTAL CUSTOMERS,7699.0,2024-02-01
"Datahub
(Shopify)",TOTAL CUSTOMERS,7133.0,2023-02-01
"Datahub
(Shopify)",TOTAL CUSTOMERS,7250.0,2022-02-01
"Datahub
(Shopify)",TOTAL CUSTOMERS,5522.0,2021-02-01
"Datahub
(Shopify)",NEW CUSTOMERS,3893.0,2025-02-01
"Datahub
(Shopify)",NEW CUSTOMERS,3495.0,2024-02-01
"Datahub
(Shopify)",NEW CUSTOMERS,3650.0,2023-02-01
"Datahub
(Shopify)",NEW CUSTOMERS,4004.0,2022-02-01
"Datahub
(Shopify)",NEW CUSTOMERS,3051.0,2021-02-01
"Datahub
(Shopify)",REPEAT CUSTOMERS,3748.0,2025-02-01
"Datahub
(Shopify)",REPEAT CUSTOMERS,4204.0,2024-02-01
"Datahub
(Shopify)",REPEAT CUSTOMERS,3483.0,2023-02-01
"Datahub
(Shopify)",REPEAT CUSTOMERS,3246.0,2022-02-01
"Datahub
(Shopify)",REPEAT CUSTOMERS,2471.0,2021-02-01
"Datahub
(Shopify orders/GA sessions)",CONVERSION,3.02,2025-02-01
"Datahub
(Shopify orders/GA sessions)",CONVERSION,3.0,2024-02-01
"Datahub
(Shopify orders/GA sessions)",CONVERSION,2.16,2023-02-01
"Datahub
(Shopify orders/GA sessions)",CONVERSION,2.74,2022-02-01
"Datahub
(Shopify orders/GA sessions)",CONVERSION,,2021-02-01
"Datahub
(Shopify)",AUR,,2025-02-01
"Datahub
(Shopify)",AUR,35.0,2024-02-01
"Datahub
(Shopify)",AUR,32.66,2023-02-01
"Datahub
(Shopify)",AUR,32.14,2022-02-01
"Datahub
(Shopify)",AUR,31.98,2021-02-01
"Datahub
(Shopify)",AOV,110.16,2025-02-01
"Datahub
(Shopify)",AOV,117.78,2024-02-01
"Datahub
(Shopify)",AOV,108.32,2023-02-01
"Datahub
(Shopify)",AOV,115.61,2022-02-01
"Datahub
(Shopify)",AOV,109.0,2021-02-01
"Datahub
(Shopify)",UPT,,2025-02-01
"Datahub
(Shopify)",UPT,3.7,2024-02-01
"Datahub
(Shopify)",UPT,3.6,2023-02-01
"Datahub
(Shopify)",UPT,3.9,2022-02-01
"Datahub
(Shopify)",UPT,3.6,2021-02-01
"Datahub
(Shopify)",REPEAT CUSTOMER RATE,,2025-02-01
"Datahub
(Shopify)",REPEAT CUSTOMER RATE,54.6,2024-02-01
"Datahub
(Shopify)",REPEAT CUSTOMER RATE,48.83,2023-02-01
"Datahub
(Shopify)",REPEAT CUSTOMER RATE,44.77,2022-02-01
"Datahub
(Shopify)",REPEAT CUSTOMER RATE,44.75,2021-02-01
Datahub,MEDIA ROAS (only ad cost),2.2,2025-02-01
Datahub,MEDIA ROAS (only ad cost),2.2,2024-02-01
Datahub,MEDIA ROAS (only ad cost),2.1,2023-02-01
Datahub,MEDIA ROAS (only ad cost),2.3,2022-02-01
Datahub,MEDIA ROAS (only ad cost),4.2,2021-02-01
Datahub,"MARKETING ROAS 
(ad cost, agency cost, organic search, email/SMS)",5.5,2025-02-01
Datahub,"MARKETING ROAS 
(ad cost, agency cost, organic search, email/SMS)",5.2,2024-02-01
Datahub,"MARKETING ROAS 
(ad cost, agency cost, organic search, email/SMS)",,2023-02-01
Datahub,"MARKETING ROAS 
(ad cost, agency cost, organic search, email/SMS)",,2022-02-01
Datahub,"MARKETING ROAS 
(ad cost, agency cost, organic search, email/SMS)",,2021-02-01
"Listrak = Based on full file""sends"" in-month 
Insider = Based on list size in portal",EMAIL LIST SIZE,350186.0,2025-02-01
"Listrak = Based on full file""sends"" in-month 
Insider = Based on list size in portal",EMAIL LIST SIZE,,2024-02-01
"Listrak = Based on full file""sends"" in-month 
Insider = Based on list size in portal",EMAIL LIST SIZE,,2023-02-01
"Listrak = Based on full file""sends"" in-month 
Insider = Based on list size in portal",EMAIL LIST SIZE,,2022-02-01
"Listrak = Based on full file""sends"" in-month 
Insider = Based on list size in portal",EMAIL LIST SIZE,,2021-02-01
Datahub,CAC,37.63,2025-02-01
Datahub,CAC,43.07,2024-02-01
Datahub,CAC,33.51,2023-02-01
Datahub,CAC,37.97,2022-02-01
Datahub,CAC,15.28,2021-02-01
Datahub,TOTAL COST (Ads & Agency Fees),,2025-02-01
Datahub,TOTAL COST (Ads & Agency Fees),184073.0,2024-02-01
Datahub,TOTAL COST (Ads & Agency Fees),163596.0,2023-02-01
Datahub,TOTAL COST (Ads & Agency Fees),203872.0,2022-02-01
Datahub,TOTAL COST (Ads & Agency Fees),46614.0,2021-02-01
Datahub,CPO,,2025-02-01
Datahub,CPO,22.71,2024-02-01
Datahub,CPO,21.97,2023-02-01
Datahub,CPO,27.34,2022-02-01
Datahub,CPO,8.23,2021-02-01
"Datahub
(Shopify)","GROSS-DISC
Missing 4 months of 21 because of migration from Magento to Shopify",1159321.0,2025-03-01
"Datahub
(Shopify)","GROSS-DISC
Missing 4 months of 21 because of migration from Magento to Shopify",975024.0,2024-03-01
"Datahub
(Shopify)","GROSS-DISC
Missing 4 months of 21 because of migration from Magento to Shopify",1118958.0,2023-03-01
"Datahub
(Shopify)","GROSS-DISC
Missing 4 months of 21 because of migration from Magento to Shopify",1065743.0,2022-03-01
"Datahub
(Shopify)","GROSS-DISC
Missing 4 months of 21 because of migration from Magento to Shopify",681097.0,2021-03-01
"Datahub
(GA4)","SESSIONS
Measurement changed after GA4 in June 23.",301104.0,2025-03-01
"Datahub
(GA4)","SESSIONS
Measurement changed after GA4 in June 23.",225549.0,2024-03-01
"Datahub
(GA4)","SESSIONS
Measurement changed after GA4 in June 23.",284000.0,2023-03-01
"Datahub
(GA4)","SESSIONS
Measurement changed after GA4 in June 23.",228310.0,2022-03-01
"Datahub
(GA4)","SESSIONS
Measurement changed after GA4 in June 23.",136220.0,2021-03-01
"Datahub
(Shopify)",ORDERS,10787.0,2025-03-01
"Datahub
(Shopify)",ORDERS,9028.0,2024-03-01
"Datahub
(Shopify)",ORDERS,11175.0,2023-03-01
"Datahub
(Shopify)",ORDERS,10221.0,2022-03-01
"Datahub
(Shopify)",ORDERS,6153.0,2021-03-01
"Datahub
(Shopify)",TOTAL CUSTOMERS,10196.0,2025-03-01
"Datahub
(Shopify)",TOTAL CUSTOMERS,8626.0,2024-03-01
"Datahub
(Shopify)",TOTAL CUSTOMERS,10723.0,2023-03-01
"Datahub
(Shopify)",TOTAL CUSTOMERS,9682.0,2022-03-01
"Datahub
(Shopify)",TOTAL CUSTOMERS,5916.0,2021-03-01
"Datahub
(Shopify)",NEW CUSTOMERS,4832.0,2025-03-01
"Datahub
(Shopify)",NEW CUSTOMERS,3542.0,2024-03-01
"Datahub
(Shopify)",NEW CUSTOMERS,5569.0,2023-03-01
"Datahub
(Shopify)",NEW CUSTOMERS,4621.0,2022-03-01
"Datahub
(Shopify)",NEW CUSTOMERS,3181.0,2021-03-01
"Datahub
(Shopify)",REPEAT CUSTOMERS,5364.0,2025-03-01
"Datahub
(Shopify)",REPEAT CUSTOMERS,5084.0,2024-03-01
"Datahub
(Shopify)",REPEAT CUSTOMERS,5154.0,2023-03-01
"Datahub
(Shopify)",REPEAT CUSTOMERS,5061.0,2022-03-01
"Datahub
(Shopify)",REPEAT CUSTOMERS,2735.0,2021-03-01
"Datahub
(Shopify orders/GA sessions)",CONVERSION,3.58,2025-03-01
"Datahub
(Shopify orders/GA sessions)",CONVERSION,4.0,2024-03-01
"Datahub
(Shopify orders/GA sessions)",CONVERSION,3.93,2023-03-01
"Datahub
(Shopify orders/GA sessions)",CONVERSION,4.48,2022-03-01
"Datahub
(Shopify orders/GA sessions)",CONVERSION,,2021-03-01
"Datahub
(Shopify)",AUR,,2025-03-01
"Datahub
(Shopify)",AUR,30.41,2024-03-01
"Datahub
(Shopify)",AUR,33.52,2023-03-01
"Datahub
(Shopify)",AUR,30.55,2022-03-01
"Datahub
(Shopify)",AUR,31.23,2021-03-01
"Datahub
(Shopify)",AOV,107.47,2025-03-01
"Datahub
(Shopify)",AOV,108.0,2024-03-01
"Datahub
(Shopify)",AOV,101.8,2023-03-01
"Datahub
(Shopify)",AOV,106.93,2022-03-01
"Datahub
(Shopify)",AOV,111.0,2021-03-01
"Datahub
(Shopify)",UPT,,2025-03-01
"Datahub
(Shopify)",UPT,3.4,2024-03-01
"Datahub
(Shopify)",UPT,3.3,2023-03-01
"Datahub
(Shopify)",UPT,3.9,2022-03-01
"Datahub
(Shopify)",UPT,3.7,2021-03-01
"Datahub
(Shopify)",REPEAT CUSTOMER RATE,,2025-03-01
"Datahub
(Shopify)",REPEAT CUSTOMER RATE,58.94,2024-03-01
"Datahub
(Shopify)",REPEAT CUSTOMER RATE,48.06,2023-03-01
"Datahub
(Shopify)",REPEAT CUSTOMER RATE,52.27,2022-03-01
"Datahub
(Shopify)",REPEAT CUSTOMER RATE,46.23,2021-03-01
Datahub,MEDIA ROAS (only ad cost),2.0,2025-03-01
Datahub,MEDIA ROAS (only ad cost),2.3,2024-03-01
Datahub,MEDIA ROAS (only ad cost),2.4,2023-03-01
Datahub,MEDIA ROAS (only ad cost),3.2,2022-03-01
Datahub,MEDIA ROAS (only ad cost),4.2,2021-03-01
Datahub,"MARKETING ROAS 
(ad cost, agency cost, organic search, email/SMS)",4.8,2025-03-01
Datahub,"MARKETING ROAS 
(ad cost, agency cost, organic search, email/SMS)",5.8,2024-03-01
Datahub,"MARKETING ROAS 
(ad cost, agency cost, organic search, email/SMS)",,2023-03-01
Datahub,"MARKETING ROAS 
(ad cost, agency cost, organic search, email/SMS)",,2022-03-01
Datahub,"MARKETING ROAS 
(ad cost, agency cost, organic search, email/SMS)",,2021-03-01
"Listrak = Based on full file""sends"" in-month 
Insider = Based on list size in portal",EMAIL LIST SIZE,338189.0,2025-03-01
"Listrak = Based on full file""sends"" in-month 
Insider = Based on list size in portal",EMAIL LIST SIZE,,2024-03-01
"Listrak = Based on full file""sends"" in-month 
Insider = Based on list size in portal",EMAIL LIST SIZE,,2023-03-01
"Listrak = Based on full file""sends"" in-month 
Insider = Based on list size in portal",EMAIL LIST SIZE,,2022-03-01
"Listrak = Based on full file""sends"" in-month 
Insider = Based on list size in portal",EMAIL LIST SIZE,,2021-03-01
Datahub,CAC,45.59,2025-03-01
Datahub,CAC,38.57,2024-03-01
Datahub,CAC,24.69,2023-03-01
Datahub,CAC,24.6,2022-03-01
Datahub,CAC,16.85,2021-03-01
Datahub,TOTAL COST (Ads & Agency Fees),,2025-03-01
Datahub,TOTAL COST (Ads & Agency Fees),168129.0,2024-03-01
Datahub,TOTAL COST (Ads & Agency Fees),175293.0,2023-03-01
Datahub,TOTAL COST (Ads & Agency Fees),184830.0,2022-03-01
Datahub,TOTAL COST (Ads & Agency Fees),53606.0,2021-03-01
Datahub,CPO,,2025-03-01
Datahub,CPO,18.62,2024-03-01
Datahub,CPO,15.69,2023-03-01
Datahub,CPO,18.08,2022-03-01
Datahub,CPO,8.71,2021-03-01
"Datahub
(Shopify)","GROSS-DISC
Missing 4 months of 21 because of migration from Magento to Shopify",1214503.0,2025-04-01
"Datahub
(Shopify)","GROSS-DISC
Missing 4 months of 21 because of migration from Magento to Shopify",1090896.0,2024-04-01
"Datahub
(Shopify)","GROSS-DISC
Missing 4 months of 21 because of migration from Magento to Shopify",892836.0,2023-04-01
"Datahub
(Shopify)","GROSS-DISC
Missing 4 months of 21 because of migration from Magento to Shopify",946846.0,2022-04-01
"Datahub
(Shopify)","GROSS-DISC
Missing 4 months of 21 because of migration from Magento to Shopify",540752.0,2021-04-01
"Datahub
(GA4)","SESSIONS
Measurement changed after GA4 in June 23.",283670.0,2025-04-01
"Datahub
(GA4)","SESSIONS
Measurement changed after GA4 in June 23.",228567.0,2024-04-01
"Datahub
(GA4)","SESSIONS
Measurement changed after GA4 in June 23.",253170.0,2023-04-01
"Datahub
(GA4)","SESSIONS
Measurement changed after GA4 in June 23.",245730.0,2022-04-01
"Datahub
(GA4)","SESSIONS
Measurement changed after GA4 in June 23.",110510.0,2021-04-01
"Datahub
(Shopify)",ORDERS,10182.0,2025-04-01
"Datahub
(Shopify)",ORDERS,9594.0,2024-04-01
"Datahub
(Shopify)",ORDERS,7915.0,2023-04-01
"Datahub
(Shopify)",ORDERS,8070.0,2022-04-01
"Datahub
(Shopify)",ORDERS,4785.0,2021-04-01
"Datahub
(Shopify)",TOTAL CUSTOMERS,9614.0,2025-04-01
"Datahub
(Shopify)",TOTAL CUSTOMERS,9104.0,2024-04-01
"Datahub
(Shopify)",TOTAL CUSTOMERS,7552.0,2023-04-01
"Datahub
(Shopify)",TOTAL CUSTOMERS,7716.0,2022-04-01
"Datahub
(Shopify)",TOTAL CUSTOMERS,4904.0,2021-04-01
"Datahub
(Shopify)",NEW CUSTOMERS,4004.0,2025-04-01
"Datahub
(Shopify)",NEW CUSTOMERS,4120.0,2024-04-01
"Datahub
(Shopify)",NEW CUSTOMERS,3451.0,2023-04-01
"Datahub
(Shopify)",NEW CUSTOMERS,3570.0,2022-04-01
"Datahub
(Shopify)",NEW CUSTOMERS,2692.0,2021-04-01
"Datahub
(Shopify)",REPEAT CUSTOMERS,5610.0,2025-04-01
"Datahub
(Shopify)",REPEAT CUSTOMERS,4984.0,2024-04-01
"Datahub
(Shopify)",REPEAT CUSTOMERS,4101.0,2023-04-01
"Datahub
(Shopify)",REPEAT CUSTOMERS,4146.0,2022-04-01
"Datahub
(Shopify)",REPEAT CUSTOMERS,2212.0,2021-04-01
"Datahub
(Shopify orders/GA sessions)",CONVERSION,3.59,2025-04-01
"Datahub
(Shopify orders/GA sessions)",CONVERSION,4.2,2024-04-01
"Datahub
(Shopify orders/GA sessions)",CONVERSION,3.13,2023-04-01
"Datahub
(Shopify orders/GA sessions)",CONVERSION,3.28,2022-04-01
"Datahub
(Shopify orders/GA sessions)",CONVERSION,,2021-04-01
"Datahub
(Shopify)",AUR,,2025-04-01
"Datahub
(Shopify)",AUR,27.74,2024-04-01
"Datahub
(Shopify)",AUR,34.5,2023-04-01
"Datahub
(Shopify)",AUR,33.18,2022-04-01
"Datahub
(Shopify)",AUR,32.87,2021-04-01
"Datahub
(Shopify)",AOV,119.28,2025-04-01
"Datahub
(Shopify)",AOV,113.71,2024-04-01
"Datahub
(Shopify)",AOV,115.4,2023-04-01
"Datahub
(Shopify)",AOV,120.99,2022-04-01
"Datahub
(Shopify)",AOV,113.0,2021-04-01
"Datahub
(Shopify)",UPT,,2025-04-01
"Datahub
(Shopify)",UPT,3.9,2024-04-01
"Datahub
(Shopify)",UPT,3.8,2023-04-01
"Datahub
(Shopify)",UPT,4.1,2022-04-01
"Datahub
(Shopify)",UPT,3.6,2021-04-01
"Datahub
(Shopify)",REPEAT CUSTOMER RATE,,2025-04-01
"Datahub
(Shopify)",REPEAT CUSTOMER RATE,54.75,2024-04-01
"Datahub
(Shopify)",REPEAT CUSTOMER RATE,54.3,2023-04-01
"Datahub
(Shopify)",REPEAT CUSTOMER RATE,53.73,2022-04-01
"Datahub
(Shopify)",REPEAT CUSTOMER RATE,45.11,2021-04-01
Datahub,MEDIA ROAS (only ad cost),2.0,2025-04-01
Datahub,MEDIA ROAS (only ad cost),2.5,2024-04-01
Datahub,MEDIA ROAS (only ad cost),1.6,2023-04-01
Datahub,MEDIA ROAS (only ad cost),2.4,2022-04-01
Datahub,MEDIA ROAS (only ad cost),3.8,2021-04-01
Datahub,"MARKETING ROAS 
(ad cost, agency cost, organic search, email/SMS)",5.0,2025-04-01
Datahub,"MARKETING ROAS 
(ad cost, agency cost, organic search, email/SMS)",5.7,2024-04-01
Datahub,"MARKETING ROAS 
(ad cost, agency cost, organic search, email/SMS)",,2023-04-01
Datahub,"MARKETING ROAS 
(ad cost, agency cost, organic search, email/SMS)",,2022-04-01
Datahub,"MARKETING ROAS 
(ad cost, agency cost, organic search, email/SMS)",,2021-04-01
"Listrak = Based on full file""sends"" in-month 
Insider = Based on list size in portal",EMAIL LIST SIZE,332866.0,2025-04-01
"Listrak = Based on full file""sends"" in-month 
Insider = Based on list size in portal",EMAIL LIST SIZE,,2024-04-01
"Listrak = Based on full file""sends"" in-month 
Insider = Based on list size in portal",EMAIL LIST SIZE,,2023-04-01
"Listrak = Based on full file""sends"" in-month 
Insider = Based on list size in portal",EMAIL LIST SIZE,,2022-04-01
"Listrak = Based on full file""sends"" in-month 
Insider = Based on list size in portal",EMAIL LIST SIZE,,2021-04-01
Datahub,CAC,60.87,2025-04-01
Datahub,CAC,39.08,2024-04-01
Datahub,CAC,41.85,2023-04-01
Datahub,CAC,35.65,2022-04-01
Datahub,CAC,19.62,2021-04-01
Datahub,TOTAL COST (Ads & Agency Fees),,2025-04-01
Datahub,TOTAL COST (Ads & Agency Fees),192914.0,2024-04-01
Datahub,TOTAL COST (Ads & Agency Fees),190339.0,2023-04-01
Datahub,TOTAL COST (Ads & Agency Fees),201941.0,2022-04-01
Datahub,TOTAL COST (Ads & Agency Fees),52812.0,2021-04-01
Datahub,CPO,,2025-04-01
Datahub,CPO,20.11,2024-04-01
Datahub,CPO,24.05,2023-04-01
Datahub,CPO,25.02,2022-04-01
Datahub,CPO,11.04,2021-04-01
"Datahub
(Shopify)","GROSS-DISC
Missing 4 months of 21 because of migration from Magento to Shopify",1618042.0,2025-05-01
"Datahub
(Shopify)","GROSS-DISC
Missing 4 months of 21 because of migration from Magento to Shopify",1516158.0,2024-05-01
"Datahub
(Shopify)","GROSS-DISC
Missing 4 months of 21 because of migration from Magento to Shopify",1702721.0,2023-05-01
"Datahub
(Shopify)","GROSS-DISC
Missing 4 months of 21 because of migration from Magento to Shopify",1603958.0,2022-05-01
"Datahub
(Shopify)","GROSS-DISC
Missing 4 months of 21 because of migration from Magento to Shopify",1246163.0,2021-05-01
"Datahub
(GA4)","SESSIONS
Measurement changed after GA4 in June 23.",351809.0,2025-05-01
"Datahub
(GA4)","SESSIONS
Measurement changed after GA4 in June 23.",320523.0,2024-05-01
"Datahub
(GA4)","SESSIONS
Measurement changed after GA4 in June 23.",381890.0,2023-05-01
"Datahub
(GA4)","SESSIONS
Measurement changed after GA4 in June 23.",379550.0,2022-05-01
"Datahub
(GA4)","SESSIONS
Measurement changed after GA4 in June 23.",200740.0,2021-05-01
"Datahub
(Shopify)",ORDERS,15579.0,2025-05-01
"Datahub
(Shopify)",ORDERS,15173.0,2024-05-01
"Datahub
(Shopify)",ORDERS,17469.0,2023-05-01
"Datahub
(Shopify)",ORDERS,14599.0,2022-05-01
"Datahub
(Shopify)",ORDERS,11701.0,2021-05-01
"Datahub
(Shopify)",TOTAL CUSTOMERS,14916.0,2025-05-01
"Datahub
(Shopify)",TOTAL CUSTOMERS,14566.0,2024-05-01
"Datahub
(Shopify)",TOTAL CUSTOMERS,16652.0,2023-05-01
"Datahub
(Shopify)",TOTAL CUSTOMERS,13962.0,2022-05-01
"Datahub
(Shopify)",TOTAL CUSTOMERS,11979.0,2021-05-01
"Datahub
(Shopify)",NEW CUSTOMERS,5447.0,2025-05-01
"Datahub
(Shopify)",NEW CUSTOMERS,6875.0,2024-05-01
"Datahub
(Shopify)",NEW CUSTOMERS,8047.0,2023-05-01
"Datahub
(Shopify)",NEW CUSTOMERS,6178.0,2022-05-01
"Datahub
(Shopify)",NEW CUSTOMERS,6786.0,2021-05-01
"Datahub
(Shopify)",REPEAT CUSTOMERS,9469.0,2025-05-01
"Datahub
(Shopify)",REPEAT CUSTOMERS,7691.0,2024-05-01
"Datahub
(Shopify)",REPEAT CUSTOMERS,8605.0,2023-05-01
"Datahub
(Shopify)",REPEAT CUSTOMERS,7784.0,2022-05-01
"Datahub
(Shopify)",REPEAT CUSTOMERS,5193.0,2021-05-01
"Datahub
(Shopify orders/GA sessions)",CONVERSION,4.43,2025-05-01
"Datahub
(Shopify orders/GA sessions)",CONVERSION,4.73,2024-05-01
"Datahub
(Shopify orders/GA sessions)",CONVERSION,4.57,2023-05-01
"Datahub
(Shopify orders/GA sessions)",CONVERSION,3.85,2022-05-01
"Datahub
(Shopify orders/GA sessions)",CONVERSION,5.83,2021-05-01
"Datahub
(Shopify)",AUR,,2025-05-01
