channel_name,value,date
Paid Search,404,2021-06-01
Paid Social,0,2025-06-01
Paid Social,431,2024-06-01
Paid Social,256,2023-06-01
Paid Social,161,2022-06-01
Paid Social,117,2021-06-01
Affiliate,0,2025-06-01
Affiliate,119,2024-06-01
Affiliate,106,2023-06-01
Affiliate,282,2022-06-01
Affiliate,234,2021-06-01
Display,0,2024-06-01
Display,0,2023-06-01
Display,0,2022-06-01
Display,0,2021-06-01
Email,0,2025-06-01
Email,1271,2024-06-01
Email,1455,2023-06-01
Email,1330,2022-06-01
Email,994,2021-06-01
SMS,0,2025-06-01
SMS,231,2024-06-01
SMS,197,2023-06-01
SMS,241,2022-06-01
SMS,249,2021-06-01
Organic Search,0,2025-06-01
Organic Search,324,2024-06-01
Organic Search,368,2023-06-01
Organic Search,417,2022-06-01
Organic Search,263,2021-06-01
Direct,0,2025-06-01
Direct,746,2024-06-01
Direct,630,2023-06-01
Direct,394,2022-06-01
Direct,251,2021-06-01
Unattributed,0,2025-06-01
Unattributed,244,2024-06-01
Unattributed,444,2023-06-01
Unattributed,481,2022-06-01
Unattributed,660,2021-06-01
Other,0,2025-06-01
Other,397,2024-06-01
Other,253,2023-06-01
Other,24,2022-06-01
Other,28,2021-06-01
Organic Social,0,2025-06-01
Organic Social,12,2024-06-01
Organic Social,39,2023-06-01
Organic Social,20,2022-06-01
Organic Social,0,2021-06-01
Paid Search,0,2025-07-01
Paid Search,901,2024-07-01
Paid Search,846,2023-07-01
Paid Search,621,2022-07-01
Paid Search,535,2021-07-01
Paid Social,0,2025-07-01
Paid Social,391,2024-07-01
Paid Social,360,2023-07-01
Paid Social,182,2022-07-01
Paid Social,159,2021-07-01
Affiliate,0,2025-07-01
Affiliate,115,2024-07-01
Affiliate,169,2023-07-01
Affiliate,67,2022-07-01
Affiliate,347,2021-07-01
Display,0,2024-07-01
Display,0,2023-07-01
Display,0,2022-07-01
Display,0,2021-07-01
Email,0,2025-07-01
Email,1055,2024-07-01
Email,1590,2023-07-01
Email,1142,2022-07-01
Email,1658,2021-07-01
SMS,0,2025-07-01
SMS,177,2024-07-01
SMS,72,2023-07-01
SMS,245,2022-07-01
SMS,1431,2021-07-01
Organic Search,0,2025-07-01
Organic Search,320,2024-07-01
Organic Search,604,2023-07-01
Organic Search,427,2022-07-01
Organic Search,337,2021-07-01
Direct,0,2025-07-01
Direct,761,2024-07-01
Direct,702,2023-07-01
Direct,484,2022-07-01
Direct,298,2021-07-01
Unattributed,0,2025-07-01
Unattributed,220,2024-07-01
Unattributed,234,2023-07-01
Unattributed,458,2022-07-01
Unattributed,244,2021-07-01
Other,0,2025-07-01
Other,287,2024-07-01
Other,510,2023-07-01
Other,71,2022-07-01
Other,30,2021-07-01
Organic Social,0,2025-07-01
Organic Social,4,2024-07-01
Organic Social,37,2023-07-01
Organic Social,13,2022-07-01
Organic Social,3,2021-07-01
Paid Search,0,2025-08-01
Paid Search,1173,2024-08-01
Paid Search,1005,2023-08-01
Paid Search,622,2022-08-01
Paid Search,553,2021-08-01
Paid Social,0,2025-08-01
Paid Social,698,2024-08-01
Paid Social,446,2023-08-01
Paid Social,134,2022-08-01
Paid Social,64,2021-08-01
Affiliate,0,2025-08-01
Affiliate,150,2024-08-01
Affiliate,103,2023-08-01
Affiliate,114,2022-08-01
Affiliate,243,2021-08-01
Display,0,2024-08-01
Display,0,2023-08-01
Display,0,2022-08-01
Display,0,2021-08-01
Email,0,2025-08-01
Email,1450,2024-08-01
Email,1424,2023-08-01
Email,2302,2022-08-01
Email,1247,2021-08-01
SMS,0,2025-08-01
SMS,261,2024-08-01
SMS,313,2023-08-01
SMS,290,2022-08-01
SMS,550,2021-08-01
Organic Search,0,2025-08-01
Organic Search,393,2024-08-01
Organic Search,439,2023-08-01
Organic Search,377,2022-08-01
Organic Search,335,2021-08-01
Direct,0,2025-08-01
Direct,906,2024-08-01
Direct,680,2023-08-01
Direct,545,2022-08-01
Direct,282,2021-08-01
Unattributed,0,2025-08-01
Unattributed,214,2024-08-01
Unattributed,204,2023-08-01
Unattributed,484,2022-08-01
Unattributed,251,2021-08-01
Other,0,2025-08-01
Other,396,2024-08-01
Other,469,2023-08-01
Other,485,2022-08-01
Other,35,2021-08-01
Organic Social,0,2025-08-01
Organic Social,23,2024-08-01
Organic Social,66,2023-08-01
Organic Social,17,2022-08-01
Organic Social,10,2021-08-01
Paid Search,0,2025-09-01
Paid Search,1083,2024-09-01
Paid Search,1005,2023-09-01
Paid Search,881,2022-09-01
Paid Search,466,2021-09-01
Paid Social,0,2025-09-01
Paid Social,495,2024-09-01
Paid Social,597,2023-09-01
Paid Social,108,2022-09-01
Paid Social,35,2021-09-01
Affiliate,0,2025-09-01
Affiliate,114,2024-09-01
Affiliate,151,2023-09-01
Affiliate,207,2022-09-01
Affiliate,294,2021-09-01
Display,0,2024-09-01
Display,0,2023-09-01
Display,0,2022-09-01
Display,0,2021-09-01
Email,0,2025-09-01
Email,1071,2024-09-01
Email,2057,2023-09-01
Email,4607,2022-09-01
Email,1463,2021-09-01
SMS,0,2025-09-01
SMS,168,2024-09-01
SMS,257,2023-09-01
SMS,405,2022-09-01
SMS,0,2021-09-01
Organic Search,0,2025-09-01
Organic Search,343,2024-09-01
Organic Search,398,2023-09-01
Organic Search,514,2022-09-01
Organic Search,326,2021-09-01
Direct,0,2025-09-01
Direct,705,2024-09-01
Direct,796,2023-09-01
Direct,874,2022-09-01
Direct,299,2021-09-01
Unattributed,0,2025-09-01
Unattributed,198,2024-09-01
Unattributed,167,2023-09-01
Unattributed,606,2022-09-01
Unattributed,284,2021-09-01
Other,0,2025-09-01
Other,367,2024-09-01
Other,689,2023-09-01
Other,141,2022-09-01
Other,33,2021-09-01
Organic Social,0,2025-09-01
Organic Social,7,2024-09-01
Organic Social,51,2023-09-01
Organic Social,42,2022-09-01
Organic Social,47,2021-09-01
Paid Search,0,2025-10-01
Paid Search,1095,2024-10-01
Paid Search,763,2023-10-01
Paid Search,580,2022-10-01
Paid Search,510,2021-10-01
Paid Social,0,2025-10-01
Paid Social,357,2024-10-01
Paid Social,277,2023-10-01
Paid Social,67,2022-10-01
Paid Social,32,2021-10-01
Affiliate,0,2025-10-01
Affiliate,161,2024-10-01
Affiliate,116,2023-10-01
Affiliate,111,2022-10-01
Affiliate,279,2021-10-01
Display,0,2024-10-01
Display,5,2023-10-01
Display,0,2022-10-01
Display,0,2021-10-01
Email,0,2025-10-01
Email,1392,2024-10-01
Email,1683,2023-10-01
Email,1942,2022-10-01
Email,975,2021-10-01
SMS,0,2025-10-01
SMS,230,2024-10-01
SMS,181,2023-10-01
SMS,147,2022-10-01
SMS,0,2021-10-01
Organic Search,0,2025-10-01
Organic Search,373,2024-10-01
Organic Search,345,2023-10-01
Organic Search,326,2022-10-01
Organic Search,260,2021-10-01
Direct,0,2025-10-01
Direct,732,2024-10-01
Direct,573,2023-10-01
Direct,586,2022-10-01
Direct,296,2021-10-01
Unattributed,0,2025-10-01
Unattributed,259,2024-10-01
Unattributed,218,2023-10-01
Unattributed,501,2022-10-01
Unattributed,231,2021-10-01
Other,0,2025-10-01
Other,387,2024-10-01
Other,633,2023-10-01
Other,99,2022-10-01
Other,16,2021-10-01
Organic Social,0,2025-10-01
Organic Social,16,2024-10-01
Organic Social,22,2023-10-01
Organic Social,35,2022-10-01
Organic Social,23,2021-10-01
Paid Search,0,2025-11-01
Paid Search,1986,2024-11-01
Paid Search,2452,2023-11-01
Paid Search,1714,2022-11-01
Paid Search,1183,2021-11-01
Paid Social,0,2025-11-01
Paid Social,944,2024-11-01
Paid Social,1007,2023-11-01
Paid Social,590,2022-11-01
Paid Social,844,2021-11-01
Affiliate,0,2025-11-01
Affiliate,342,2024-11-01
Affiliate,378,2023-11-01
Affiliate,501,2022-11-01
Affiliate,1055,2021-11-01
Display,0,2024-11-01
Display,42,2023-11-01
Display,0,2022-11-01
Display,0,2021-11-01
Email,0,2025-11-01
Email,2702,2024-11-01
Email,5304,2023-11-01
Email,8241,2022-11-01
Email,3617,2021-11-01
SMS,0,2025-11-01
SMS,476,2024-11-01
SMS,569,2023-11-01
SMS,1281,2022-11-01
SMS,0,2021-11-01
Organic Search,0,2025-11-01
Organic Search,666,2024-11-01
Organic Search,768,2023-11-01
Organic Search,874,2022-11-01
Organic Search,858,2021-11-01
Direct,0,2025-11-01
Direct,1464,2024-11-01
Direct,1764,2023-11-01
Direct,1792,2022-11-01
Direct,886,2021-11-01
Unattributed,0,2025-11-01
Unattributed,222,2024-11-01
Unattributed,336,2023-11-01
Unattributed,1005,2022-11-01
Unattributed,502,2021-11-01
Other,0,2025-11-01
Other,634,2024-11-01
Other,1619,2023-11-01
Other,279,2022-11-01
Other,43,2021-11-01
Organic Social,0,2025-11-01
Organic Social,17,2024-11-01
Organic Social,48,2023-11-01
Organic Social,80,2022-11-01
Organic Social,53,2021-11-01
Paid Search,0,2025-12-01
Paid Search,2220,2024-12-01
Paid Search,1673,2023-12-01
Paid Search,1057,2022-12-01
Paid Search,744,2021-12-01
Paid Social,0,2025-12-01
Paid Social,1248,2024-12-01
Paid Social,776,2023-12-01
Paid Social,397,2022-12-01
Paid Social,171,2021-12-01
Affiliate,0,2025-12-01
Affiliate,403,2024-12-01
Affiliate,206,2023-12-01
Affiliate,174,2022-12-01
Affiliate,465,2021-12-01
Display,0,2024-12-01
Display,45,2023-12-01
Display,0,2022-12-01
Display,0,2021-12-01
Email,0,2025-12-01
Email,3366,2024-12-01
Email,2439,2023-12-01
Email,2822,2022-12-01
Email,1862,2021-12-01
SMS,0,2025-12-01
SMS,595,2024-12-01
SMS,390,2023-12-01
SMS,297,2022-12-01
SMS,0,2021-12-01
Organic Search,0,2025-12-01
Organic Search,838,2024-12-01
Organic Search,487,2023-12-01
Organic Search,555,2022-12-01
Organic Search,537,2021-12-01
Direct,0,2025-12-01
Direct,1808,2024-12-01
Direct,1138,2023-12-01
Direct,1010,2022-12-01
Direct,494,2021-12-01
Unattributed,0,2025-12-01
Unattributed,301,2024-12-01
Unattributed,348,2023-12-01
Unattributed,845,2022-12-01
Unattributed,579,2021-12-01
Other,0,2025-12-01
Other,829,2024-12-01
Other,803,2023-12-01
Other,181,2022-12-01
Other,27,2021-12-01
Organic Social,0,2025-12-01
Organic Social,17,2024-12-01
Organic Social,30,2023-12-01
Organic Social,64,2022-12-01
Organic Social,25,2021-12-01
