CHANNEL,CHANNEL_TYPE,YEAR,MONTH,Media Spend
Paid Search Media,Paid,2019,MAY,55947.0
Paid Search Agency,Paid,2019,MAY,5086.0
Affiliate Media,Affiliate,2019,MAY,45000.0
Affiliate Agency,Affiliate,2019,MAY,4500.0
Paid Social Media,Paid,2019,JUNE,55012.0
Paid Social Agency,Paid,2019,JUNE,5001.0
Paid Search Media,Paid,2019,JUNE,44758.0
Paid Search Agency,Paid,2019,JUNE,4069.0
Affiliate Media,Affiliate,2019,JUNE,45000.0
Affiliate Agency,Affiliate,2019,JUNE,4500.0
Paid Social Media,Paid,2019,JULY,55012.0
Paid Social Agency,Paid,2019,JULY,5001.0
Paid Search Media,Paid,2019,JULY,44758.0
Paid Search Agency,Paid,2019,JULY,4069.0
Affiliate Media,Affiliate,2019,JULY,45000.0
Affiliate Agency,Affiliate,2019,JULY,4500.0
Paid Social Media,Paid,2019,AUGUST,55012.0
Paid Social Agency,Paid,2019,AUGUST,5001.0
Paid Search Media,Paid,2019,AUGUST,44758.0
Paid Search Agency,Paid,2019,AUGUST,4069.0
Affiliate Media,Affiliate,2019,AUGUST,45000.0
Affiliate Agency,Affiliate,2019,AUGUST,4500.0
Paid Social Media,Paid,2019,SEPTEMBER,55012.0
Paid Social Agency,Paid,2019,SEPTEMBER,5001.0
Paid Search Media,Paid,2019,SEPTEMBER,44758.0
Paid Search Agency,Paid,2019,SEPTEMBER,4069.0
Affiliate Media,Affiliate,2019,SEPTEMBER,45000.0
Affiliate Agency,Affiliate,2019,SEPTEMBER,4500.0
Paid Social Media,Paid,2019,OCTOBER,55012.0
Paid Social Agency,Paid,2019,OCTOBER,5001.0
Paid Search Media,Paid,2019,OCTOBER,44758.0
Paid Search Agency,Paid,2019,OCTOBER,4069.0
Affiliate Media,Affiliate,2019,OCTOBER,45000.0
Affiliate Agency,Affiliate,2019,OCTOBER,4500.0
Paid Social Media,Paid,2019,NOVEMBER,55012.0
Paid Social Agency,Paid,2019,NOVEMBER,5001.0
Paid Search Media,Paid,2019,NOVEMBER,44758.0
Paid Search Agency,Paid,2019,NOVEMBER,4069.0
Affiliate Media,Affiliate,2019,NOVEMBER,45000.0
Affiliate Agency,Affiliate,2019,NOVEMBER,4500.0
Paid Social Media,Paid,2019,DECEMBER,55012.0
Paid Social Agency,Paid,2019,DECEMBER,5001.0
Paid Search Media,Paid,2019,DECEMBER,44758.0
Paid Search Agency,Paid,2019,DECEMBER,4069.0
Affiliate Media,Affiliate,2019,DECEMBER,45000.0
Affiliate Agency,Affiliate,2019,DECEMBER,4500.0
