DATE,YEAR,MONTH,CHANNEL,Existing Customers,Existing Orders,Media Spend,New Customers,New Orders
2025-02-01,2025,FEBRUARY,Other,359.0,,,476.0,
2025-02-01,2025,FEBRUARY,Paid Search Agency,,,6873.952706822955,,
2025-02-01,2025,FEBRUARY,Paid Social,306.0,,,380.0,
2025-02-01,2025,FEBRUARY,Paid Social Agency,,,11996.047293177044,,
2025-02-01,2025,FEBRUARY,Paid Social Media,,,93826.0,,
2025-02-01,2025,FEBRUARY,SMS,156.0,,,83.0,
2025-02-01,2025,FEBRUARY,TOTAL Agency,,,24467.0,,
2025-02-01,2025,FEBRUARY,TOTAL Media,,,158476.0,,
2025-02-01,2025,FEBRUARY,Unattributed,232.0,,,202.0,
2025-03-01,2025,MARCH,Affiliate,166.0,,,168.0,
2025-03-01,2025,MARCH,Affiliate Agency,,,6222.0,,
2025-03-01,2025,MARCH,Affiliate Media,,,12631.0,,
2025-03-01,2025,MARCH,Direct,692.0,,,639.0,
2025-03-01,2025,MARCH,Email,1219.0,,,290.0,
2025-03-01,2025,MARCH,Organic Search,416.0,,,460.0,
2025-03-01,2025,MARCH,Organic Social,13.0,,,20.0,
2025-03-01,2025,MARCH,Other,766.0,,,753.0,
2025-03-01,2025,MARCH,Paid Search Agency,,,8191.7357489057695,,
2025-03-01,2025,MARCH,Paid Social,553.0,,,836.0,
2025-03-01,2025,MARCH,Paid Social Agency,,,16380.26425109423,,
2025-03-01,2025,MARCH,Paid Social Media,,,153218.0,,
2025-03-01,2025,MARCH,SMS,195.0,,,85.0,
2025-03-01,2025,MARCH,TOTAL Agency,,,30794.0,,
2025-03-01,2025,MARCH,TOTAL Media,,,242473.0,,
2025-03-01,2025,MARCH,Unattributed,315.0,,,148.0,
2025-04-01,2025,APRIL,Affiliate,172.0,,,128.0,
2025-04-01,2025,APRIL,Affiliate Agency,,,6460.0,,
2025-04-01,2025,APRIL,Affiliate Media,,,13265.0,,
2025-04-01,2025,APRIL,Direct,684.0,,,538.0,
2025-04-01,2025,APRIL,Email,1637.0,,,345.0,
2025-04-01,2025,APRIL,Organic Search,501.0,,,455.0,
2025-04-01,2025,APRIL,Organic Social,16.0,,,12.0,
2025-04-01,2025,APRIL,Other,466.0,,,400.0,
2025-04-01,2025,APRIL,Paid Search Agency,,,8339.310511359961,,
2025-04-01,2025,APRIL,Paid Social,550.0,,,634.0,
2025-04-01,2025,APRIL,Paid Social Agency,,,15650.68948864004,,
2025-04-01,2025,APRIL,Paid Social Media,,,151295.0,,
2025-04-01,2025,APRIL,SMS,214.0,,,66.0,
2025-04-01,2025,APRIL,TOTAL Agency,,,30450.0,,
2025-04-01,2025,APRIL,TOTAL Media,,,245176.0,,
2025-04-01,2025,APRIL,Unattributed,264.0,,,104.0,
2025-05-01,2025,MAY,Affiliate Agency,,,8978.0,,
2025-05-01,2025,MAY,Affiliate Media,,,18461.0,,
2025-05-01,2025,MAY,Paid Search Agency,,,7500.72407451651,,
2025-05-01,2025,MAY,Paid Social Agency,,,22418.27592548349,,
2025-05-01,2025,MAY,Paid Social Media,,,238355.0,,
2025-05-01,2025,MAY,TOTAL Agency,,,38897.0,,
2025-05-01,2025,MAY,TOTAL Media,,,336565.0,,
2025-06-01,2025,JUNE,TOTAL Agency,,,0.0,,
2025-06-01,2025,JUNE,TOTAL Media,,,0.0,,
2025-07-01,2025,JULY,TOTAL Agency,,,0.0,,
2025-07-01,2025,JULY,TOTAL Media,,,0.0,,
2025-08-01,2025,AUGUST,TOTAL Agency,,,0.0,,
2025-08-01,2025,AUGUST,TOTAL Media,,,0.0,,
2025-09-01,2025,SEPTEMBER,TOTAL Agency,,,0.0,,
2025-09-01,2025,SEPTEMBER,TOTAL Media,,,0.0,,
2025-10-01,2025,OCTOBER,TOTAL Agency,,,0.0,,
2025-10-01,2025,OCTOBER,TOTAL Media,,,0.0,,
2025-11-01,2025,NOVEMBER,TOTAL Agency,,,0.0,,
2025-11-01,2025,NOVEMBER,TOTAL Media,,,0.0,,
2025-12-01,2025,DECEMBER,TOTAL Agency,,,0.0,,
2025-12-01,2025,DECEMBER,TOTAL Media,,,0.0,,
