user_id,session_id,session_start,source,medium,campaign
d62ad4714114db612c00cd315fed75f2878c7efbd0c5e7cc390e52c3e9f62111,SESS-1020,2024-06-04 08:00:00,google,organic_social,summer_sale
7471bf09f476ff6b8a77973ce82d60a0fb621c6dbb6e12da8570b2805c92a663,SESS-1021,2024-06-04 12:00:00,google,affiliate,brand_awareness
765c42cd34cc810258934a9476cd0aa10edbc858542d691a35f917031c86e438,SESS-1022,2024-06-04 16:00:00,direct,cpc,retargeting
124d94dc937547097683a43b1b33a2b0b9b63865dd171cf949255163dbb13442,SESS-1023,2024-06-04 20:00:00,tiktok,cpc,brand_awareness
5d7bf29d478f9c56104efb36a52aaf17a520f35768ac2a3229a5af21d61575ed,SESS-1024,2024-06-05 00:00:00,google,organic_social,summer_sale
4e7991a0e6166bcb60a5dc792f2baa6c56c6b83f777c1d075098907f8101bc28,SESS-1025,2024-06-05 04:00:00,tiktok,cpc,brand_awareness
6a1ef7a219bf743e783a044662513e55ba440af64cc02a925646c918bd818caa,SESS-1026,2024-06-05 08:00:00,direct,cpc,summer_sale
7f2e854862c6ccea4f8d1c2d0ebb84e6ac8f4c74f9f0e563989d18d0a41ec985,SESS-1027,2024-06-05 12:00:00,facebook,direct,brand_awareness
e7a69930552a40c75004e147d7a028903f2c3cafac3c9726cd184ca1f690f563,SESS-1028,2024-06-05 16:00:00,google,organic_social,retargeting
9b6364f4045deb1edafab82627c8768f0c5f79e995fe2f32eec94d894d05ef45,SESS-1029,2024-06-05 20:00:00,google,cpc,summer_sale
94cb363a217c6ed8588629a84effc3980df5ea1033e772a0c8fe22f58c4085fe,SESS-1030,2024-06-06 00:00:00,direct,organic_social,brand_awareness
6e026ad3553ccff2882093c6959b14b444abbd971ff70c3ce0e18b7870be6d2b,SESS-1031,2024-06-06 04:00:00,tiktok,cpc,summer_sale
4270349c15644390430f94ed7a68d5fe5885a6ea472d9dceb356497bfc5c8150,SESS-1032,2024-06-06 08:00:00,direct,affiliate,summer_sale
c020e2ddeb1365ad20eac9cdac87a690f10a246a8d9b5bb181cc07fd02736b73,SESS-1033,2024-06-06 12:00:00,facebook,direct,retargeting
a53f0288af079a13112b407d37c92ef71a21f0122f7a5d31aa327f47604a8112,SESS-1034,2024-06-06 16:00:00,tiktok,cpc,retargeting
30c4aa9943619b2ee28245dad3b80a6dd51311ae09998445759b69a927ae6a69,SESS-1035,2024-06-06 20:00:00,tiktok,direct,brand_awareness
cb22631e66508a9c49b52cb6c5ea06cea43ada60e3b66610377d9fb3b7502678,SESS-1036,2024-06-07 00:00:00,google,organic_social,summer_sale
3ac339c56b60528e5109599871b8ced3a5661dce2331aca63e5ae1e47189b9e2,SESS-1037,2024-06-07 04:00:00,google,direct,brand_awareness
ec70e45f5a9cff6ddc0d7571efc386a5f76f2d824b1b5008b09081a72a5225ed,SESS-1038,2024-06-07 08:00:00,tiktok,direct,summer_sale
b4aae0db29d8259a3cd571565f9112306b1d30494183293c7c654f583591911b,SESS-1039,2024-06-07 12:00:00,google,affiliate,summer_sale
335ea53091e4192eb34aaaef2147eabf4d55733614be3f40535afbbdb2500b97,SESS-1040,2024-06-07 16:00:00,google,direct,summer_sale
b0d8c5dabb34cd600c5f7de6708b92363116f5e41ce6929fac5d26ced92a5cab,SESS-1041,2024-06-07 20:00:00,direct,direct,brand_awareness
12c33241580cc122673479ae8342630777258992d726dd49e6aa9aef68d08194,SESS-1042,2024-06-08 00:00:00,direct,organic_social,brand_awareness
7f5777fce14880d02b1f589d2ad755325107fae7d307828b32040777823e7eb8,SESS-1043,2024-06-08 04:00:00,facebook,cpc,retargeting
f6c912b162e5bb3cee76a8b9e461ee4f9f8e370dd3a720c97f48c27fe15909c4,SESS-1044,2024-06-08 08:00:00,direct,affiliate,retargeting
d35d54a0c9dbacceb0ff1673e55df8ec6fdb8ecd1d2b45ac19e54d90733fe673,SESS-1045,2024-06-08 12:00:00,facebook,affiliate,summer_sale
0b5f18179d486d32ca4ee1299d7082edd4f29b5ef8559572fc11ab5a2f8939e5,SESS-1046,2024-06-08 16:00:00,google,affiliate,brand_awareness
ff4ac5b2c7a84f14ff0f663052df6cc8ae6ef6f4718063d04effc12781cccc11,SESS-1047,2024-06-08 20:00:00,facebook,affiliate,summer_sale
19c812ea864187fee4167e9ec3be26baac181ea7d7d1d29b28604ea2afde7500,SESS-1048,2024-06-09 00:00:00,google,cpc,retargeting
78da4aee1a5b1209f9d30cde86aaae7009107cb3b58b2f8239c233c8c95c62d8,SESS-1049,2024-06-09 04:00:00,google,direct,brand_awareness
b36a83701f1c3191e19722d6f90274bc1b5501fe69ebf33313e440fe4b0fe210,sess001,2025-07-02 09:00:00,google,cpc,summer_sale
2b3b2b9ce842ab8b6a6c614cb1f9604bb8a0d502d1af49c526b72b10894e95b5,sess002,2025-07-02 09:15:00,facebook,social,brand_awareness
898628e28890f937bdf009391def42879c401a4bcf1b5fd24e738d9f5da8cbbb,sess003,2025-07-02 09:30:00,google,organic,(not set)
