"Datahub
(Shopify)"	ORDERS	2025	"10,272"	"7,955"	"10,787"	"10,182"	"15,579"								"54,775"
"Datahub
(Shopify)"	ORDERS	2024	"9,489"	"8,107"	"9,028"	"9,594"	"15,173"	"9,348"	"8,750"	"10,341"	"8,876"	"8,814"	"17,022"	"22,166"	"136,708"
"Datahub
(Shopify)"	ORDERS	2023	"9,291"	"7,448"	"11,175"	"7,915"	"17,469"	"8,689"	"10,527"	"9,942"	"12,337"	"8,197"	"26,558"	"16,142"	"145,690"
"Datahub
(Shopify)"	ORDERS	2022	"8,954"	"7,457"	"10,221"	"8,070"	"14,599"	"7,436"	"7,129"	"9,503"	"14,463"	"7,770"	"30,609"	"15,556"	"141,767"
"Datahub
(Shopify)"	ORDERS	2021	"7,393"	"5,667"	"6,153"	"4,785"	"11,701"	"7,379"	"8,159"	"6,818"	"7,261"	"6,115"	"22,707"	"11,543"	"105,681"
"Datahub
(Shopify)"	TOTAL CUSTOMERS	2025	"9,863"	"7,641"	"10,196"	"9,614"	"14,916"	"3,016"	0	0	0	0	0	0	"55,246"
"Datahub
(Shopify)"	TOTAL CUSTOMERS	2024	"9,107"	"7,699"	"8,626"	"9,104"	"14,566"	"8,966"	"8,417"	"9,869"	"8,571"	"8,362"	"16,407"	"21,360"	"131,054"
"Datahub
(Shopify)"	TOTAL CUSTOMERS	2023	"8,946"	"7,133"	"10,723"	"7,552"	"16,652"	"8,294"	"10,083"	"9,500"	"11,929"	"7,829"	"25,110"	"15,997"	"139,748"
"Datahub
(Shopify)"	TOTAL CUSTOMERS	2022	"8,688"	"7,250"	"9,682"	"7,716"	"13,962"	"7,135"	"6,804"	"9,181"	"13,877"	"7,462"	"29,119"	"15,003"	"135,879"
"Datahub
(Shopify)"	TOTAL CUSTOMERS	2021	"7,125"	"5,522"	"5,916"	"4,904"	"11,979"	"7,198"	"7,855"	"6,560"	"6,984"	"5,875"	"21,620"	"11,228"	"102,766"
"Datahub
(Shopify)"	NEW CUSTOMERS	2025	"4,819"	"3,893"	"4,832"	"4,004"	"5,447"								"22,995"
"Datahub
(Shopify)"	NEW CUSTOMERS	2024	"4,571"	"3,495"	"3,542"	"4,120"	"6,875"	"4,131"	"4,016"	"4,376"	"4,164"	"3,561"	"7,221"	"10,118"	"60,190"
"Datahub
(Shopify)"	NEW CUSTOMERS	2023	"4,587"	"3,650"	"5,569"	"3,451"	"8,047"	"3,993"	"5,147"	"4,533"	"5,938"	"3,212"	"11,323"	"7,928"	"67,378"
"Datahub
(Shopify)"	NEW CUSTOMERS	2022	"4,617"	"4,004"	"4,621"	"3,570"	"6,178"	"3,371"	"3,266"	"3,993"	"5,758"	"3,227"	"13,392"	"7,872"	"63,869"
"Datahub
(Shopify)"	NEW CUSTOMERS	2021	"4,224"	"3,051"	"3,181"	"2,692"	"6,786"	"4,124"	"3,959"	"3,328"	"3,470"	"3,019"	"11,379"	"5,759"	"54,972"
"Datahub
(Shopify)"	REPEAT CUSTOMERS	2025	"5,044"	"3,748"	"5,364"	"5,610"	"9,469"	"3,016"							"32,251"
"Datahub
(Shopify)"	REPEAT CUSTOMERS	2024	"4,536"	"4,204"	"5,084"	"4,984"	"7,691"	"4,835"	"4,401"	"5,493"	"4,407"	"4,801"	"9,186"	"11,242"	"70,864"
"Datahub
(Shopify)"	REPEAT CUSTOMERS	2023	"4,359"	"3,483"	"5,154"	"4,101"	"8,605"	"4,301"	"4,936"	"4,967"	"5,991"	"4,617"	"13,787"	"8,069"	"72,370"
"Datahub
(Shopify)"	REPEAT CUSTOMERS	2022	"4,071"	"3,246"	"5,061"	"4,146"	"7,784"	"3,764"	"3,538"	"5,188"	"8,119"	"4,235"	"15,727"	"7,131"	"72,010"
"Datahub
(Shopify)"	REPEAT CUSTOMERS	2021	"2,901"	"2,471"	"2,735"	"2,212"	"5,193"	"3,074"	"3,896"	"3,232"	"3,514"	"2,856"	"10,241"	"5,469"	"47,794"
"Datahub
(Shopify orders/GA sessions)"	CONVERSION	2025	3.86%	3.02%	3.58%	3.59%	4.43%								6.65%
"Datahub
(Shopify orders/GA sessions)"	CONVERSION	2024	3.50%	3.00%	4.00%	4.20%	4.73%	4.13%	3.31%	3.82%	3.53%	3.83%	5.35%	6.17%	4.22%
"Datahub
(Shopify orders/GA sessions)"	CONVERSION	2023	3.10%	2.16%	3.93%	3.13%	4.57%	3.59%	4.48%	4.66%	5.06%	3.42%	7.27%	5.22%	4.22%
"Datahub
(Shopify orders/GA sessions)"	CONVERSION	2022	3.45%	2.74%	4.48%	3.28%	3.85%	3.04%	3.31%	4.41%	4.58%	2.47%	7.64%	4.35%	3.97%
"Datahub
(Shopify orders/GA sessions)"	CONVERSION	2021					5.83%	4.31%	4.59%	4.22%	4.26%	4.18%	8.30%	5.28%	5.12%
"Datahub
(Shopify)"	AUR	2025													
"Datahub
(Shopify)"	AUR	2024	$30.77 	$35.00 	$30.41 	$27.74 	$23.20 	$26.71 	$25.94 						$199.77 
"Datahub
(Shopify)"	AUR	2023	$28.90 	$32.66 	$33.52 	$34.50 	$28.16 	$29.38 	$25.06 	$25.18 	$22.97 	$38.46 	$32.56 	$29.75 	$29.63 
"Datahub
(Shopify)"	AUR	2022	$31.63 	$32.14 	$30.55 	$33.18 	$27.28 	$30.29 	$31.15 	$28.20 	$25.74 	$34.83 	$30.84 	$31.06 	$30.09 
"Datahub
(Shopify)"	AUR	2021	$28.96 	$31.98 	$31.23 	$32.87 	$23.60 	$27.64 	$29.51 	$30.93 	$28.46 	$32.37 	$28.96 	$29.60 	$28.97 
"Datahub
(Shopify)"	AOV	2025	$105.12 	$110.16 	$107.47 	$119.28 	$103.86 								$109.72 
"Datahub
(Shopify)"	AOV	2024	$100.93 	$117.78 	$108.00 	$113.71 	$99.92 	$108.23 	$108.38 	$109.09 	$108.01 	$111.85 	$103.66 	$105.81 	$107.07 
"Datahub
(Shopify)"	AOV	2023	$107.35 	$108.32 	$101.80 	$115.40 	$99.72 	$104.03 	$101.82 	$102.45 	$97.57 	$114.70 	$96.68 	$101.12 	$102.51 
"Datahub
(Shopify)"	AOV	2022	$115.27 	$115.61 	$106.93 	$120.99 	$112.52 	$115.66 	$114.72 	$112.21 	$106.75 	$117.28 	$92.87 	$103.25 	$107.60 
"Datahub
(Shopify)"	AOV	2021	$104.00 	$109.00 	$111.00 	$113.00 	$107.00 	$109.00 	$108.00 	$115.00 	$112.00 	$121.00 	$95.00 	$103.00 	$107.00 
"Datahub
(Shopify)"	UPT	2025													
"Datahub
(Shopify)"	UPT	2024	3.7	3.7	3.4	3.9	4.1	3.8	4						
"Datahub
(Shopify)"	UPT	2023	4	3.6	3.3	3.8	4.1	3.9	4.4	4.3	4.5	3.6	3.5	3.8	3.9
"Datahub
(Shopify)"	UPT	2022	3.9	3.9	3.9	4.1	4.5	4.2	4.1	4.3	4.6	4	3.4	3.6	4
"Datahub
(Shopify)"	UPT	2021	3.8	3.6	3.7	3.6	4.8	4.2	3.9	4.1	4.3	4.1	3.5	3.7	3.9
"Datahub
(Shopify)"	REPEAT CUSTOMER RATE	2025													
"Datahub
(Shopify)"	REPEAT CUSTOMER RATE	2024	49.81%	54.60%	58.94%	54.75%	52.80%	53.93%	52.29%						
"Datahub
(Shopify)"	REPEAT CUSTOMER RATE	2023	48.73%	48.83%	48.06%	54.30%	51.68%	51.86%	48.95%	52.28%	50.22%	58.97%	54.91%	50.44%	
"Datahub
(Shopify)"	REPEAT CUSTOMER RATE	2022	46.86%	44.77%	52.27%	53.73%	55.75%	52.75%	52.00%	56.51%	58.51%	56.75%	54.01%	47.53%	
"Datahub
(Shopify)"	REPEAT CUSTOMER RATE	2021	40.72%	44.75%	46.23%	45.11%	43.35%	42.71%	49.60%	49.27%	50.32%	48.61%	47.37%	48.71%	
Datahub	MEDIA ROAS (only ad cost)	2025	2.3	2.2	2	2	2.1								2.1
Datahub	MEDIA ROAS (only ad cost)	2024	3.3	2.2	2.3	2.5	1.9	2.4	2	2.4	2.1	1.8	2.1	2.3	2.2
Datahub	MEDIA ROAS (only ad cost)	2023	2.9	2.1	2.4	1.6	2.4	2.9	3.4	3.2	2.8	1.8	2.7	2.4	2.5
Datahub	MEDIA ROAS (only ad cost)	2022	2.6	2.3	3.2	2.4	2.7	2.1	2.8	3	2.7	2.6	3.4	2.2	2.7
Datahub	MEDIA ROAS (only ad cost)	2021	4.1	4.2	4.2	3.8	7.1	5.1	6.3	5.2	3.9	3.7	3.9	3.4	4.4
Datahub	"MARKETING ROAS 
(ad cost, agency cost, organic search, email/SMS)"	2025	5.7	5.5	4.8	5	4.8								5.1
Datahub	"MARKETING ROAS 
(ad cost, agency cost, organic search, email/SMS)"	2024	6.8	5.2	5.8	5.7	4.3	5.2	4.3	5	4.2	4.1	4.6	5.5	4.9
Datahub	"MARKETING ROAS 
(ad cost, agency cost, organic search, email/SMS)"	2023	#REF!	#REF!	#REF!	#REF!	#REF!	#REF!	#REF!	#REF!	#REF!	#REF!	#REF!	#REF!	#REF!
Datahub	"MARKETING ROAS 
(ad cost, agency cost, organic search, email/SMS)"	2022	#REF!	#REF!	#REF!	#REF!	#REF!	#REF!	#REF!	#REF!	#REF!	#REF!	#REF!	#REF!	#REF!
Datahub	"MARKETING ROAS 
(ad cost, agency cost, organic search, email/SMS)"	2021	#REF!	#REF!	#REF!	#REF!	#REF!	#REF!	#REF!	#REF!	#REF!	#REF!	#REF!	#REF!	#REF!
"Listrak = Based on full file""sends"" in-month 
Insider = Based on list size in portal"	EMAIL LIST SIZE	2025	"315,415"	"350,186"	"338,189"	"332,866"	"330,297"	"327,055"							
"Listrak = Based on full file""sends"" in-month 
Insider = Based on list size in portal"	EMAIL LIST SIZE	2024	#REF!	#REF!	#REF!	#REF!	#REF!	#REF!	#REF!	"330,984"	"326,300"	"323,350"	"322,038"	"318,750"	"318,750"
"Listrak = Based on full file""sends"" in-month 
Insider = Based on list size in portal"	EMAIL LIST SIZE	2023	#REF!	#REF!	#REF!	#REF!	#REF!	#REF!	#REF!	#REF!	#REF!	#REF!	#REF!	#REF!	#REF!
"Listrak = Based on full file""sends"" in-month 
Insider = Based on list size in portal"	EMAIL LIST SIZE	2022	#REF!	#REF!	#REF!	#REF!	#REF!	#REF!	#REF!	#REF!	#REF!	#REF!	#REF!	#REF!	#REF!
"Listrak = Based on full file""sends"" in-month 
Insider = Based on list size in portal"	EMAIL LIST SIZE	2021	#REF!	#REF!	#REF!	#REF!	#REF!	#REF!	#REF!	#REF!	#REF!	#REF!	#REF!	#REF!	#REF!
Datahub	CAC	2025	$37.27 	$37.63 	$45.59 	$60.87 	$61.79 	$59.57 							$49.50 
Datahub	CAC	2024	$23.79 	$43.07 	$38.57 	$39.08 	$44.92 	$40.29 	$48.04 	$42.97 	$46.58 	$58.40 	$44.30 	$38.57 	$41.95 
Datahub	CAC	2023	$26.83 	$33.51 	$24.69 	$41.85 	$33.13 	$28.72 	$22.61 	$26.76 	$27.83 	$50.93 	$30.01 	$34.35 	$30.98 
Datahub	CAC	2022	$30.59 	$37.97 	$24.60 	$35.65 	$32.42 	$39.67 	$30.99 	$27.74 	$26.21 	$32.83 	$19.11 	$33.70 	$29.10 
Datahub	CAC	2021	$13.41 	$15.28 	$16.85 	$19.62 	$10.49 	$12.72 	$12.53 	$16.18 	$19.87 	$25.17 	$17.31 	$22.83 	$16.56 
Datahub	TOTAL COST (Ads & Agency Fees)	2025													0
Datahub	TOTAL COST (Ads & Agency Fees)	2024	"$141,037 "	"$184,073 "	"$168,129 "	"$192,914 "	"$352,110 "	"$193,961 "	"$222,592 "	"$226,602 "	"$230,447 "	"$239,645 "	"$384,495 "	"$430,057 "	"2,966,062"
Datahub	TOTAL COST (Ads & Agency Fees)	2023	"$188,446 "	"$163,596 "	"$175,293 "	"$190,339 "	"$321,961 "	"$153,413 "	"$154,081 "	"$156,861 "	"$214,507 "	"$198,374 "	"$391,018 "	"$342,850 "	"2,650,738"
Datahub	TOTAL COST (Ads & Agency Fees)	2022	"$188,274 "	"$203,872 "	"$184,830 "	"$201,941 "	"$249,459 "	"$178,926 "	"$165,841 "	"$146,739 "	"$194,971 "	"$165,068 "	"$307,062 "	"$316,462 "	"2,503,446"
Datahub	TOTAL COST (Ads & Agency Fees)	2021	"$56,661 "	"$46,614 "	"$53,606 "	"$52,812 "	"$71,158 "	"$52,470 "	"$49,602 "	"$78,398 "	"$118,444 "	"$110,981 "	"$245,648 "	"$199,161 "	"1,135,556"
Datahub	CPO	2025													
Datahub	CPO	2024	$14.86 	$22.71 	$18.62 	$20.11 	$23.21 	$20.75 	$25.44 						$21.70 
Datahub	CPO	2023	$20.28 	$21.97 	$15.69 	$24.05 	$18.43 	$17.66 	$14.64 	$15.78 	$17.39 	$24.20 	$14.72 	$21.24 	$18.19 
Datahub	CPO	2022	$21.03 	$27.34 	$18.08 	$25.02 	$17.09 	$24.06 	$23.26 	$15.44 	$13.48 	$21.24 	$10.03 	$20.34 	$17.66 
Datahub	CPO	2021	$7.66 	$8.23 	$8.71 	$11.04 	$6.08 	$7.11 	$6.08 	$11.50 	$16.31 	$18.15 	$10.82 	$17.25 	$10.75 
