order_id,user_id,order_datetime,gross_revenue
order_90,user_16299,2023-08-31 11:07:14,129.02
order_91,user_37747,2023-12-31 12:55:49,108.67
order_92,user_21322,2023-07-25 12:36:04,210.57
order_93,user_35203,2023-04-07 20:56:33,274.43
order_94,user_3402,2023-07-11 02:56:21,197.83
order_95,user_31908,2023-08-04 13:01:25,196.27
order_96,user_13141,2023-03-07 01:12:28,113.19
order_97,user_12885,2023-10-10 19:03:55,88.79
order_98,user_48156,2023-01-09 10:13:50,80.81
order_99,user_4743,2023-07-22 17:35:03,143.58
order_100,user_46960,2023-01-29 02:19:08,68.86
order_101,user_43650,2023-09-05 22:46:05,73.41
order_102,user_6293,2023-10-21 19:07:38,110.05
order_103,user_47036,2023-03-12 09:33:30,253.7
order_104,user_40382,2023-08-04 15:26:34,106.93
order_105,user_1489,2023-11-20 01:46:25,151.25
order_106,user_27481,2023-08-25 09:31:18,223.8
order_107,user_13678,2023-09-03 17:49:12,274.25
order_108,user_44641,2023-12-05 15:39:35,149.45
order_109,user_18380,2023-01-22 00:11:10,258.62
order_110,user_26042,2023-09-12 11:09:49,114.92
order_111,user_48240,2023-10-16 17:23:58,142.39
order_112,user_34168,2023-04-15 05:55:41,216.35
order_113,user_21278,2023-09-13 05:33:11,133.14
order_114,user_44640,2023-08-20 19:52:24,100.83
order_115,user_9262,2023-04-24 19:56:31,232.83
order_116,user_7261,2023-06-08 17:56:08,129.27
order_117,user_32792,2023-05-14 22:22:00,194.26
order_118,user_19874,2023-05-05 18:50:42,93.74
order_119,user_35438,2023-10-17 10:01:07,73.32
order_120,user_19860,2023-10-03 03:44:42,87.17
order_121,user_46139,2023-09-29 21:54:13,75.97
order_122,user_48223,2023-07-24 20:56:12,142.39
order_123,user_4023,2023-03-12 01:15:15,243.52
order_124,user_1296,2023-04-09 14:08:40,209.11
order_125,user_24346,2023-05-14 19:00:42,180.51
order_126,user_28585,2023-03-02 01:35:32,145.94
order_127,user_17692,2023-03-11 06:00:21,218.36
order_128,user_849,2023-03-22 16:25:09,178.45
order_129,user_40657,2023-08-06 11:23:56,173.42
order_130,user_2409,2023-04-30 19:50:09,54.09
order_131,user_44222,2023-05-13 01:40:23,288.19
order_132,user_41664,2023-09-23 06:30:38,158.07
order_133,user_27949,2023-12-27 22:38:46,279.26
order_134,user_8578,2023-06-08 10:20:46,277.36
order_135,user_41794,2023-03-19 16:53:57,290.39
order_136,user_44477,2023-10-27 20:38:16,236.63
order_137,user_46085,2023-02-13 04:38:42,176.57
order_138,user_22409,2023-10-31 12:45:32,145.42
order_139,user_5858,2023-01-24 00:30:49,131.19
order_140,user_7771,2023-10-03 13:15:54,206.27
order_141,user_10990,2023-08-27 10:34:02,271.69
order_142,user_7879,2023-03-24 14:05:32,61.45
order_143,user_28920,2023-08-26 15:18:09,262.86
order_144,user_24228,2023-09-01 20:45:25,134.05
order_145,user_33627,2023-09-25 08:29:15,93.26
order_146,user_35174,2023-11-10 07:19:21,211.66
order_147,user_3564,2023-01-01 06:52:14,205.57
order_148,user_43026,2023-01-08 12:51:35,288.95
order_149,user_39185,2023-01-06 03:52:43,61.38
order_150,user_44006,2023-07-02 11:33:52,220.04
order_151,user_39861,2023-05-21 19:01:47,118.76
order_152,user_37912,2023-10-12 11:05:14,160.04
order_153,user_20099,2023-07-08 15:27:18,126.31
order_154,user_3611,2023-11-05 23:17:35,119.72
order_155,user_34248,2023-09-02 11:55:50,181.46
order_156,user_21872,2023-02-16 01:48:18,69.49
order_157,user_4770,2023-04-13 21:40:42,186.04
order_158,user_19713,2023-07-04 02:59:51,261.66
order_159,user_39381,2023-10-12 09:57:59,154.25
order_160,user_41183,2023-01-21 06:34:29,118.43
order_161,user_17359,2023-09-25 02:16:32,172.83
order_162,user_13472,2023-12-16 08:35:06,248.6
order_163,user_23514,2023-12-14 22:04:23,292.71
order_164,user_34960,2023-12-09 08:21:44,158.3
order_165,user_29873,2023-08-03 23:18:00,211.72
order_166,user_37405,2023-06-19 18:49:15,56.81
order_167,user_9255,2023-09-08 17:26:18,237.31
order_168,user_34390,2023-11-11 22:57:42,216.12
order_169,user_18634,2023-01-23 07:28:01,77.33
order_170,user_38852,2023-04-18 18:30:12,285.13
order_171,user_42271,2023-05-27 05:23:16,170.5
order_172,user_40264,2023-09-08 11:01:42,139.39
order_173,user_3363,2023-01-19 05:27:36,236.29
order_174,user_22315,2023-02-23 07:36:49,63.35
order_175,user_36331,2023-08-04 20:26:06,71.7
order_176,user_19152,2023-12-02 03:18:51,263.42
order_177,user_31011,2023-08-02 02:11:00,147.97
order_178,user_13558,2023-07-27 21:04:42,62.94
order_179,user_7733,2023-06-20 07:36:56,96.11
order_180,user_4708,2023-12-15 01:47:09,230.65
order_181,user_33368,2023-02-17 22:04:03,62.44
order_182,user_27303,2023-12-07 07:21:48,275.87
order_183,user_12020,2023-08-16 18:35:11,282.01
order_184,user_15496,2023-03-28 12:07:34,67.31
order_185,user_22612,2023-06-07 08:07:54,184.17
order_186,user_27553,2023-11-26 11:02:05,268.08
order_187,user_26216,2023-03-06 06:24:43,98.38
order_188,user_47260,2023-04-07 17:45:01,118.21
order_189,user_23974,2023-05-09 07:10:28,78.23
order_190,user_43096,2023-05-05 05:31:08,177.87
order_191,user_38732,2023-04-09 05:42:26,184.27
order_192,user_17418,2023-06-04 09:32:15,298.91
order_193,user_20787,2023-01-09 03:50:37,107.61
order_194,user_40826,2023-07-10 09:52:18,182.02
order_195,user_25285,2023-04-23 10:54:13,70.08
order_196,user_16902,2023-01-05 10:51:56,284.39
order_197,user_40481,2023-11-18 09:26:57,241.48
order_198,user_24491,2023-05-27 05:24:43,266.53
order_199,user_35913,2023-04-28 14:23:51,96.8
order_200,user_11066,2023-09-17 02:42:31,126.47
order_201,user_24522,2023-05-19 13:05:57,169.11
order_202,user_15026,2023-12-12 01:15:08,136.58
order_203,user_8429,2023-05-07 22:04:18,286.24
order_204,user_45327,2023-04-05 09:33:23,93.9
order_205,user_25761,2023-02-25 07:23:31,206.56
order_206,user_298,2023-06-19 10:41:06,162.82
order_207,user_16533,2023-03-23 15:19:11,73.58
order_208,user_20320,2023-02-12 08:20:12,223.84
order_209,user_18651,2023-01-14 02:23:49,291.56
order_210,user_38288,2023-05-12 07:52:09,231.87
order_211,user_25396,2023-10-09 11:27:06,65.22
order_212,user_22619,2023-12-08 02:28:47,276.98
order_213,user_45446,2023-08-23 09:31:13,174.15
order_214,user_4632,2023-03-31 12:37:12,241.3
order_215,user_2769,2023-02-28 12:21:36,177.5
order_216,user_22444,2023-03-03 20:25:56,244.2
order_217,user_17248,2023-09-09 06:28:20,52.22
order_218,user_32962,2023-08-06 00:00:46,219.37
order_219,user_18082,2023-03-18 22:06:25,219.04
order_220,user_27558,2023-10-12 18:26:00,248.2
order_221,user_38166,2023-11-23 15:48:46,96.24
order_222,user_44817,2023-01-08 00:01:21,263.6
order_223,user_18314,2023-01-23 02:01:36,129.61
order_224,user_19229,2023-12-14 06:18:16,208.86
order_225,user_44680,2023-08-15 17:38:27,64.88
order_226,user_41100,2023-10-06 00:16:30,118.98
order_227,user_22186,2023-07-19 14:49:34,178.38
order_228,user_42897,2023-04-04 03:34:37,79.19
order_229,user_29766,2023-07-27 18:18:46,157.27
order_230,user_45833,2023-08-15 00:50:07,101.14
order_231,user_4105,2023-10-26 14:42:12,279.91
order_232,user_24555,2023-09-21 20:38:48,148.3
order_233,user_1081,2023-06-11 19:47:34,265.82
order_234,user_16576,2023-07-12 17:40:21,140.51
order_235,user_30048,2023-08-21 16:53:48,145.68
order_236,user_1189,2023-12-29 22:56:25,243.78
order_237,user_39710,2023-06-14 16:04:30,263.41
order_238,user_23831,2023-08-30 20:37:18,81.41
order_239,user_46405,2023-03-08 16:08:06,287.41
order_240,user_24667,2023-06-24 22:07:18,79.07
order_241,user_22781,2023-10-30 21:03:06,197.9
order_242,user_34215,2023-03-16 16:57:54,233.88
order_243,user_19196,2023-03-26 09:02:58,162.58
order_244,user_20026,2023-01-15 01:10:28,83.11
order_245,user_36326,2023-10-30 19:45:20,218.83
order_246,user_145,2023-03-23 19:35:30,258.86
order_247,user_23366,2023-07-12 00:32:59,77.08
order_248,user_23823,2023-11-05 16:51:43,162.24
order_249,user_37388,2023-08-21 09:50:08,53.72
order_250,user_2618,2023-07-07 15:59:45,173.61
order_251,user_41631,2023-04-11 20:23:34,180.49
order_252,user_14902,2023-08-22 07:05:31,276.57
order_253,user_30462,2023-03-25 19:02:19,103.93
order_254,user_24884,2023-12-31 15:20:35,168.85
order_255,user_8274,2023-06-08 19:18:00,185.12
order_256,user_38959,2023-01-29 12:47:37,120.08
order_257,user_11866,2023-05-09 04:07:44,91.27
order_258,user_44683,2023-01-30 18:01:09,256.07
order_259,user_46653,2023-10-05 12:42:14,246.0
order_260,user_10038,2023-06-10 08:09:57,290.11
order_261,user_10828,2023-05-11 23:01:46,79.2
order_262,user_10,2023-08-14 06:12:45,111.68
order_263,user_15805,2023-03-26 05:09:37,176.32
order_264,user_39218,2023-06-17 21:53:02,86.76
order_265,user_49948,2023-08-18 03:26:49,56.22
order_266,user_17830,2023-09-02 13:34:50,277.86
order_267,user_42755,2023-04-24 04:14:42,223.01
order_268,user_17238,2023-10-02 18:13:30,253.76
order_269,user_3838,2023-05-14 16:36:06,55.27
order_270,user_2100,2023-01-14 02:43:46,128.23
order_271,user_31658,2023-03-20 05:34:50,127.23
order_272,user_5462,2023-12-03 04:13:13,132.38
order_273,user_33533,2023-03-04 00:43:53,60.8
order_274,user_25818,2023-05-17 22:13:49,263.17
order_275,user_5132,2023-11-02 17:11:24,123.01
order_276,user_36524,2023-05-04 04:39:27,239.99
order_277,user_19097,2023-06-18 12:18:00,90.47
order_278,user_19816,2023-01-15 15:40:10,124.85
order_279,user_28916,2023-01-23 13:06:22,109.23
order_280,user_46592,2023-08-14 23:03:20,204.35
order_281,user_19048,2023-07-29 15:32:00,141.11
order_282,user_37245,2023-01-15 02:00:06,133.19
order_283,user_39339,2023-03-01 21:51:02,206.79
order_284,user_44172,2023-09-14 16:11:08,136.76
order_285,user_34287,2023-07-13 13:45:46,239.04
order_286,user_31007,2023-04-16 11:19:19,147.15
order_287,user_20197,2023-07-31 13:42:45,139.11
order_288,user_8984,2023-06-04 11:17:53,163.34
order_289,user_33159,2023-12-14 23:56:09,133.01
order_290,user_35485,2023-04-20 20:50:28,212.09
order_291,user_6655,2023-09-16 16:52:28,66.13
order_292,user_30717,2023-08-07 17:43:25,152.12
order_293,user_47607,2023-05-29 07:12:33,210.43
order_294,user_7179,2023-09-20 02:28:03,96.41
order_295,user_49055,2023-03-28 03:36:14,200.39
order_296,user_33614,2023-12-23 00:15:03,244.64
order_297,user_10765,2023-12-31 16:50:27,202.14
order_298,user_18659,2023-03-27 21:20:04,296.86
order_299,user_27623,2023-12-17 17:30:52,220.05
order_300,user_5453,2023-04-02 22:32:04,100.87
order_301,user_33404,2023-07-01 03:46:04,187.2
order_302,user_16751,2023-11-05 02:36:21,183.14
order_303,user_4858,2023-12-27 11:58:20,249.24
order_304,user_28252,2023-10-29 05:57:10,212.53
order_305,user_24359,2023-01-20 21:01:26,128.71
order_306,user_26120,2023-08-12 04:50:23,251.51
order_307,user_44063,2023-11-26 03:27:04,275.38
order_308,user_33506,2023-11-11 14:35:45,158.85
order_309,user_45585,2023-07-17 00:44:54,201.83
order_310,user_43204,2023-02-23 11:10:33,78.3
order_311,user_26938,2023-06-16 22:02:40,292.8
order_312,user_11633,2023-02-16 20:15:05,83.15
order_313,user_4481,2023-04-26 02:55:32,296.92
order_314,user_27721,2023-01-11 01:06:15,259.4
order_315,user_17120,2023-10-04 08:35:15,181.9
order_316,user_31880,2023-03-07 10:15:05,115.35
order_317,user_17910,2023-07-02 07:09:50,196.41
order_318,user_30053,2023-08-07 20:43:17,285.37
order_319,user_2841,2023-01-04 10:28:35,158.89
order_320,user_21034,2023-08-28 05:28:33,133.66
order_321,user_23311,2023-05-01 06:37:05,273.39
order_322,user_36817,2023-06-08 00:09:43,96.75
order_323,user_42076,2023-06-27 12:49:52,158.99
order_324,user_37575,2023-08-23 04:11:35,178.72
order_325,user_9849,2023-02-22 00:13:47,126.32
order_326,user_14745,2023-08-09 11:44:30,206.6
order_327,user_47617,2023-11-08 12:45:10,250.13
order_328,user_38256,2023-02-28 12:59:51,149.3
order_329,user_34494,2023-05-18 20:00:40,175.42
order_330,user_35837,2023-08-23 20:40:37,290.04
order_331,user_28523,2023-08-25 16:24:11,217.89
order_332,user_13481,2023-04-06 02:25:46,240.47
order_333,user_45057,2023-10-05 17:01:20,203.38
order_334,user_2282,2023-02-14 12:53:29,203.14
order_335,user_48382,2023-05-17 12:25:29,259.75
order_336,user_44169,2023-04-14 07:23:09,167.85
order_337,user_18309,2023-10-15 08:48:58,169.83
order_338,user_36056,2023-02-17 17:55:54,131.21
order_339,user_26469,2023-01-06 00:56:21,205.56
order_340,user_36773,2023-07-28 12:45:37,82.36
order_341,user_12233,2023-10-07 17:58:31,151.93
order_342,user_33971,2023-02-16 21:49:55,52.77
order_343,user_21083,2023-01-25 01:48:37,186.54
order_344,user_39093,2023-06-26 04:46:38,273.45
order_345,user_48904,2023-12-02 03:18:20,245.5
order_346,user_46019,2023-12-16 16:45:53,282.84
order_347,user_12062,2023-12-19 10:49:40,145.65
order_348,user_13712,2023-05-30 01:11:11,197.72
order_349,user_49622,2023-10-03 13:47:30,70.16
order_350,user_48563,2023-07-28 18:51:57,141.4
order_351,user_44496,2023-04-23 05:28:59,54.35
order_352,user_36011,2023-03-01 13:13:41,130.33
order_353,user_37071,2023-03-23 17:36:52,244.14
order_354,user_29874,2023-12-18 20:34:18,108.49
order_355,user_42928,2023-01-29 05:24:06,117.44
order_356,user_21248,2023-03-25 01:02:58,215.02
order_357,user_12424,2023-05-08 04:46:12,257.37
order_358,user_49464,2023-06-19 13:05:33,158.2
order_359,user_40206,2023-05-10 19:58:52,128.23
order_360,user_12015,2023-11-10 02:44:15,276.16
order_361,user_43927,2023-10-23 11:26:22,78.26
order_362,user_32589,2023-05-17 00:45:43,217.09
order_363,user_20440,2023-12-25 16:46:37,243.6
order_364,user_97,2023-09-21 21:37:05,57.71
order_365,user_7161,2023-07-22 03:08:17,51.09
order_366,user_11572,2023-04-30 16:21:41,233.03
order_367,user_14564,2023-06-28 21:48:47,225.04
order_368,user_2787,2023-04-22 23:51:24,106.43
order_369,user_47570,2023-03-05 12:27:37,197.46
order_370,user_12750,2023-10-01 06:22:48,205.0
order_371,user_47873,2023-10-26 11:21:40,112.92
order_372,user_12846,2023-11-17 19:07:52,242.31
order_373,user_11138,2023-01-20 13:24:40,215.58
order_374,user_33729,2023-08-07 02:02:01,113.54
order_375,user_17317,2023-02-08 07:19:04,140.8
order_376,user_2408,2023-05-15 08:31:50,238.64
order_377,user_9040,2023-11-29 22:02:27,93.95
order_378,user_41660,2023-05-18 15:16:34,194.33
order_379,user_19326,2023-07-14 03:15:43,128.6
order_380,user_11616,2023-04-16 21:18:30,73.56
order_381,user_1339,2023-08-02 03:20:51,185.36
order_382,user_36011,2023-11-30 03:42:31,99.81
order_383,user_12075,2023-01-12 16:38:29,155.64
order_384,user_19547,2023-01-19 15:23:55,292.59
order_385,user_14943,2023-12-04 16:26:09,263.67
order_386,user_40680,2023-05-14 09:41:49,173.61
order_387,user_49251,2023-03-12 09:18:48,121.08
order_388,user_13183,2023-01-04 12:38:22,232.1
order_389,user_39541,2023-09-20 18:50:36,258.65
order_390,user_23017,2023-06-13 15:59:59,268.41
order_391,user_6209,2023-05-16 22:38:36,50.14
order_392,user_47868,2023-04-16 18:42:41,144.73
order_393,user_5905,2023-12-01 18:47:22,115.73
order_394,user_25100,2023-08-18 05:03:55,297.39
order_395,user_33404,2023-07-29 21:19:29,126.78
order_396,user_36120,2023-11-07 11:41:16,285.31
order_397,user_19254,2023-10-17 03:30:35,159.74
order_398,user_5019,2023-07-13 08:35:01,149.71
order_399,user_44305,2023-10-02 04:23:08,235.77
order_400,user_32714,2023-08-25 13:00:06,163.36
order_401,user_27065,2023-03-12 07:41:09,208.74
order_402,user_10649,2023-11-18 11:35:29,72.88
order_403,user_37320,2023-03-09 20:36:53,229.2
order_404,user_26748,2023-07-25 12:54:17,252.37
order_405,user_18860,2023-04-03 07:09:46,262.49
order_406,user_11190,2023-06-23 13:36:58,132.53
order_407,user_49256,2023-02-12 13:28:49,249.54
order_408,user_42896,2023-08-20 08:04:51,53.03
order_409,user_47397,2023-12-16 18:03:25,57.1
order_410,user_46722,2023-11-27 19:46:13,241.18
order_411,user_11743,2023-05-27 05:28:43,286.76
order_412,user_857,2023-01-07 12:26:58,66.88
order_413,user_2384,2023-06-02 20:39:46,89.11
order_414,user_11533,2023-08-06 10:25:47,131.94
order_415,user_26136,2023-10-29 06:41:14,88.23
order_416,user_13911,2023-09-03 21:54:07,174.72
order_417,user_4044,2023-12-19 01:17:06,96.96
order_418,user_12407,2023-06-21 06:41:24,156.77
order_419,user_20950,2023-11-28 03:58:13,259.88
order_420,user_13664,2023-05-19 04:37:54,71.3
order_421,user_34056,2023-04-02 04:34:16,130.17
order_422,user_7550,2023-03-19 06:25:20,282.44
order_423,user_34856,2023-03-26 18:21:55,285.49
order_424,user_37107,2023-02-08 00:19:43,175.32
order_425,user_10265,2023-12-26 11:10:24,236.86
order_426,user_41319,2023-12-20 06:35:24,296.54
order_427,user_15143,2023-07-23 01:47:06,250.16
order_428,user_45628,2023-07-27 10:03:17,179.8
order_429,user_47614,2023-05-19 23:49:35,79.04
order_430,user_27275,2023-03-09 02:57:42,285.67
order_431,user_20239,2023-02-21 15:03:23,148.24
order_432,user_40813,2023-09-12 07:45:09,109.62
order_433,user_24218,2023-10-11 06:05:31,181.16
order_434,user_4172,2023-04-20 17:40:16,242.65
order_435,user_49468,2023-07-06 18:08:23,71.77
order_436,user_16981,2023-11-27 16:09:55,122.35
order_437,user_32320,2023-08-06 00:21:07,100.01
order_438,user_1838,2023-06-22 05:54:23,233.03
order_439,user_33031,2023-10-24 21:54:42,163.51
order_440,user_13377,2023-11-23 02:02:55,77.7
order_441,user_35605,2023-06-06 22:03:23,208.36
order_442,user_16615,2023-04-27 06:10:55,58.68
order_443,user_44591,2023-01-12 21:56:14,142.66
order_444,user_12888,2023-04-11 17:27:54,60.64
order_445,user_35592,2023-10-10 09:17:04,246.5
order_446,user_18257,2023-03-10 04:01:00,125.0
order_447,user_49250,2023-07-10 07:17:31,60.67
order_448,user_28611,2023-10-19 04:30:24,244.85
order_449,user_30588,2023-03-09 07:51:22,64.27
order_450,user_17769,2023-02-02 15:59:12,204.98
order_451,user_37003,2023-01-04 22:28:08,73.27
order_452,user_28437,2023-05-08 04:45:06,270.36
order_453,user_1213,2023-02-04 03:45:20,173.79
order_454,user_14024,2023-03-11 20:24:13,70.84
order_455,user_20309,2023-09-17 07:23:27,205.36
order_456,user_37832,2023-01-05 17:40:38,141.34
order_457,user_45678,2023-03-23 05:36:58,160.29
order_458,user_16571,2023-11-06 11:15:56,255.88
order_459,user_35191,2023-09-29 10:46:36,222.59
order_460,user_18859,2023-11-30 16:53:44,202.8
order_461,user_23830,2023-07-29 13:28:13,184.2
order_462,user_14398,2023-04-19 14:09:14,157.2
order_463,user_10203,2023-04-19 15:16:36,276.64
order_464,user_5305,2023-08-20 10:46:58,53.61
order_465,user_14566,2023-12-22 07:51:28,298.43
order_466,user_35059,2023-09-18 10:00:28,147.55
order_467,user_28665,2023-11-19 19:49:27,62.08
order_468,user_36402,2023-12-02 23:52:27,74.06
order_469,user_2584,2023-01-15 16:51:23,291.72
order_470,user_36053,2023-03-13 12:24:45,186.86
order_471,user_12707,2023-10-13 06:13:51,199.58
order_472,user_25100,2023-05-30 22:21:42,106.31
order_473,user_22343,2023-08-18 13:43:17,226.81
order_474,user_8344,2023-12-10 22:37:41,79.91
order_475,user_16038,2023-07-18 17:10:18,141.62
order_476,user_5449,2023-06-07 02:27:57,129.14
order_477,user_45737,2023-10-01 11:01:52,185.81
order_478,user_29105,2023-01-12 17:02:16,202.61
order_479,user_42706,2023-12-11 11:43:19,258.92
order_480,user_9771,2023-12-11 20:01:22,265.65
order_481,user_18336,2023-03-11 03:52:54,203.8
order_482,user_2757,2023-10-02 22:16:13,239.56
order_483,user_33855,2023-09-11 09:02:23,94.88
order_484,user_4857,2023-03-24 21:58:58,65.85
order_485,user_23381,2023-06-30 01:07:44,169.93
order_486,user_27210,2023-01-29 09:15:20,181.57
order_487,user_12351,2023-12-06 15:49:51,107.62
order_488,user_13212,2023-05-14 02:54:52,101.56
order_489,user_27931,2023-03-27 17:11:40,269.89
order_490,user_20425,2023-01-03 18:49:22,280.75
order_491,user_16118,2023-07-01 17:27:28,177.43
order_492,user_37331,2023-01-16 00:35:55,110.67
order_493,user_41502,2023-03-15 08:58:10,216.79
order_494,user_15781,2023-08-02 10:19:55,84.75
order_495,user_33239,2023-09-22 04:10:23,103.1
order_496,user_21335,2023-10-06 10:15:05,150.34
order_497,user_16460,2023-01-20 21:02:21,298.31
order_498,user_40140,2023-03-13 02:34:43,286.04
order_499,user_32161,2023-12-13 14:43:48,282.63
order_500,user_38467,2023-11-28 21:18:08,232.41
order_501,user_22856,2023-07-11 05:36:37,222.39
order_502,user_22526,2023-09-07 00:16:49,222.05
order_503,user_13795,2023-06-02 21:16:27,239.02
order_504,user_48059,2023-08-31 08:21:13,266.08
order_505,user_7290,2023-08-27 08:10:34,131.69
order_506,user_42063,2023-07-29 17:18:17,106.14
order_507,user_22579,2023-01-28 03:23:14,199.19
order_508,user_40896,2023-10-08 18:29:29,195.77
order_509,user_41917,2023-07-07 16:41:50,97.22
order_510,user_3737,2023-07-27 13:02:44,138.94
order_511,user_27901,2023-03-05 07:20:12,100.76
order_512,user_22035,2023-04-25 04:39:37,235.9
order_513,user_33808,2023-05-01 06:03:21,173.47
order_514,user_45527,2023-01-31 16:54:59,229.98
order_515,user_34980,2023-05-11 09:32:14,160.85
order_516,user_33796,2023-09-25 05:46:22,241.73
order_517,user_8429,2023-11-16 14:39:06,79.32
order_518,user_43818,2023-05-16 04:06:21,79.1
order_519,user_21598,2023-10-31 08:44:25,121.3
order_520,user_12902,2023-02-22 01:28:19,95.34
order_521,user_12100,2023-03-16 02:27:15,238.91
order_522,user_223,2023-03-30 01:07:24,180.0
order_523,user_11084,2023-07-05 11:40:49,230.35
order_524,user_29138,2023-11-03 08:48:43,195.83
order_525,user_11044,2023-02-14 15:05:58,287.15
order_526,user_32939,2023-03-01 13:39:19,199.82
order_527,user_17702,2023-06-13 17:23:11,166.77
order_528,user_19701,2023-12-13 00:07:13,235.17
order_529,user_9475,2023-05-27 23:12:04,86.09
order_530,user_12643,2023-05-07 18:19:52,270.28
order_531,user_41016,2023-11-27 20:17:47,98.55
order_532,user_40584,2023-01-09 11:45:35,198.03
order_533,user_33723,2023-01-14 04:49:36,277.57
order_534,user_42989,2023-04-12 01:35:55,67.05
order_535,user_40261,2023-07-11 05:21:21,292.66
order_536,user_603,2023-08-08 05:38:41,242.56
order_537,user_18718,2023-04-22 05:47:36,255.24
